ïbêî,ç∂ìµçEåa,âEìµçEåa,ç∂ñ⁄ÇÃäJÇ´ãÔçá,âEñ⁄ÇÃäJÇ´ãÔçá,1ïbìñÇΩÇËÇÃèuÇ´âÒêî
672,-1,-1,0.1038203,0,1
673,-1,-1,0,0,2
673,-1,-1,0,0,0
674,3.581223,3.58345,1,1,0
675,-1,-1,1,1,1
676,-1,-1,1,1,0
677,-1,-1,1,1,0
678,-1,-1,1,1,0
679,-1,-1,1,1,0
680,-1,-1,1,1,0
680,-1,-1,1,1,0
681,-1,-1,1,1,0
682,-1,-1,0.4304146,0.4397633,1
683,4.005875,4.024094,0.9692248,0.9401687,2
684,3.583832,3.649078,1,1,0
685,3.828293,3.661743,1,1,0
686,-1,-1,0.819441,0.7250662,0
686,-1,-1,0.819441,0.7250662,0
687,3.558716,3.545639,1,1,0
688,3.531921,3.485886,1,1,0
689,3.474594,3.283142,1,1,0
690,3.15596,3.339737,1,1,0
691,3.385864,3.296829,1,1,0
692,3.134567,3.126434,1,1,0
692,3.134567,3.126434,1,1,0
693,3.093994,3.029556,1,1,0
694,3.239899,3.110321,1,1,0
695,2.916718,2.885681,1,1,0
696,3.015137,2.946014,1,1,0
697,-1,-1,0.556591,0.4651099,0
697,-1,-1,0.556591,0.4651099,0
698,2.913467,2.949722,1,1,0
699,2.970001,2.882889,1,1,0
699,2.970001,2.882889,1,1,0
700,2.843582,2.9599,1,1,0
701,2.960266,2.99646,1,1,0
702,3.233398,3.297318,1,1,0
703,3.6ïbêî,ç∂ìµçEåa,âEìµçEåa,ç∂ñ⁄ÇÃäJÇ´ãÔçá,âEñ⁄ÇÃäJÇ´ãÔçá,1ïbìñÇΩÇËÇÃèuÇ´âÒêî
716,3.845535,3.825775,1,1,1
717,3.786407,3.838608,1,1,0
717,3.786407,3.838608,1,1,0
718,3.438797,3.272812,1,1,0
719,3.484253,3.303665,1,1,0
719,3.484253,3.303665,1,1,0
720,3.776138,3.703537,1,1,0
721,3.444366,3.545212,0.8385084,0.9331518,0
722,-1,-1,0.3893505,0.2814971,0
723,3.549362,3.652512,1,1,0
724,-1,-1,0.4820182,0.4733698,0
725,3.822113,3.644577,0.7577106,0.6996445,0
726,3.894043,3.964188,1,1,0
727,4.209015,3.952316,1,1,0
728,4.145798,4.005844,1,1,0
729,3.871368,3.65686,1,1,0
730,-1,-1,0.8226876,0.7807527,0
730,-1,-1,0.8226876,0.7807527,0
731,-1,-1,0.4125559,0.3634526,0
731,-1,-1,0.4125559,0.3634526,0
732,3.09169,2.957886,1,1,0
732,3.09169,2.957886,1,1,0
733,-1,-1,0,0,1
734,-1,-1,1,1,1
735,-1,-1,1,1,0
735,-1,-1,1,1,0
736,-1,-1,1,1,0
737,-1,-1,1,1,0
738,4.054626,2.413696,0,0,1
739,-1,-1,0.4539318,0.4735982,1
740,2.977875,2.899887,1,1,0
741,2.911697,2.943405,1,1,0
742,3.067429,2.981094,1,1,0
743,3.111404,3.02449,1,1,0
744,3.642914,3.542648,1,1,0
744,3.642914,3.542648,1,1,0
745,3.470535,3.33075,1,1,0
745,3.470535,3.33075,1,1,0
746,3.055527,2.733475,1,1,0
747,3.655609,3.4422,1,1,0
748,3.205032,3.15007,1,1,0
749,3.527252,3.440063,1,1,0
750,-1,-1,0.5974135,0.805909,0
750,-1,-1,0.5974135,0.805909,0
751,3.392044,3.252792,1,1,0
752,3.19931,3.155365,1,1,0
753,3.724503,3.670395,0.9363685,0.9542599,0
753,3.724503,3.670395,0.9363685,0.9542599,0
754,3.533279,3.33107,0.9167652,0.9911646,0
755,3.026855,2.984039,1,1,0
755,3.026855,2.984039,1,1,0
756,3.596313,3.412643,1,1,0
757,3.068466,3.034225,0.9024416,0.9407296,0
758,2.985214,3.20549,0.9559168,0.9461195,0
759,3.149094,3.102921,1,1,0
760,3.272491,3.154419,1,1,0
761,3.570648,3.482208,1,1,0
762,3.782669,3.750046,1,1,0
763,3.43454,3.314972,1,1,0
764,2.455948,2.466797,1,1,0
765,2.760498,2.585342,1,1,0
766,2.866196,2.742722,1,1,1
767,3.502182,3.131882,0.6081192,0.6885912,0
768,-1,-1,1,1,1
769,-1,-1,1,1,0
770,-1,-1,1,1,0
771,-1,-1,1,1,0
772,-1,-1,1,1,0
772,-1,-1,1,1,0
773,-1,-1,1,1,0
774,-1,-1,1,1,0
775,3.578369,3.631927,1,1,1
