Blink,time,count,tempblink
0.3533334,0,1,0
0.4597407,0,1,0
0.5769396,0,1,0
0.6842902,0,1,0
0.7891673,0,1,0
0.8938751,0,1,0
0.9958256,0,1,0
1.10055,0,1,0
1.213243,0,2,0
1.314652,0,2,0
1.418451,0,2,0
1.5242,0,2,0
1.635785,0,2,0
1.751613,0,2,0
1.860437,0,2,0
1.965528,0,2,0
2.073843,0,2,0
2.185532,0,3,0
2.29361,0,3,0
2.401284,0,3,0
2.505345,0,3,0
2.610372,0,3,0
2.715235,0,3,0
2.819177,0,3,0
2.928221,0,3,0
3.28815,0,3,0
3.396418,0,4,0
3.504483,0,4,0
3.605793,0,4,0
3.709427,0,4,0
3.823229,0,4,0
3.933171,0,4,0
4.039655,0,4,0
4.146359,0,5,0
4.261668,0,5,0
4.388178,0,5,0
4.49174,0,5,0
4.600548,0,5,0
4.701766,0,5,0
4.804779,0,5,0
4.905282,0,5,0
5.007521,0,5,0
5.110479,0,6,0
5.213272,0,6,0
5.314666,0,6,0
5.419021,0,6,0
5.519865,0,6,0
5.625565,0,6,0
5.7517,0,6,0
5.853916,0,6,0
5.955139,0,6,0
6.063,0,6,0
6.163609,0,7,0
6.264597,0,7,0
6.365536,0,7,0
6.466646,0,7,0
6.592633,0,7,0
6.697425,0,7,0
6.820502,0,7,0
6.92213,0,7,0
7.04535,0,7,0
7.165354,0,8,0
7.287751,0,8,0
7.38935,0,8,0
7.49054,0,8,0
7.621011,0,8,0
7.722777,0,8,0
7.824216,0,8,0
7.929539,0,8,0
8.054647,1,8,1
8.177618,1,9,0
8.278474,1,9,0
8.379091,1,9,0
8.481516,1,9,0
8.58433,1,9,0
8.689518,1,9,0
8.792995,1,9,0
8.894839,1,9,0
8.999505,1,9,0
9.101043,1,9,0
9.201484,1,10,0
9.301723,1,10,0
9.407554,1,10,0
9.508283,1,10,0
9.611172,1,10,0
9.715881,1,10,0
9.81763,1,10,0
9.919249,1,10,0
10.02065,1,10,0
