time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blink
0,-0.2986161,-0.3580191,-0.05146945,-0.03047824,-1,-1,0.1995912,0.5621186,0
1,0.04866672,0.3308814,-0.00302279,0.4449848,3.13443,3.553421,1,1,0
3,-0.244491,0.3006354,-0.3004143,0.3974459,3.908554,4.496582,1,1,0
4,0.02608883,0.142606,-0.04033083,0.243664,3.190964,3.753082,1,1,0
5,-0.1203978,0.06531054,-0.1566794,0.1580011,3.791473,4.308701,1,1,0
6,-0.1639288,0.1155494,-0.1999594,0.2004225,4.288437,4.75296,1,1,0
7,-0.3077171,0.2649858,-0.3549582,0.3627582,4.647049,4.973175,1,1,0
8,-0.08096725,0.06070822,-0.1201866,0.1538351,4.514694,4.821991,0.9887268,0.9934815,0
9,-0.2436769,0.233385,-0.2943685,0.3390381,4.06015,4.551437,1,1,0
10,-0.1591755,0.177826,-0.21899,0.2759659,3.724625,4.150513,1,1,0
11,-0.3966746,0.181384,-0.455958,0.2698456,4.096603,3.997665,1,1,0
12,-0.2168802,0.1626524,-0.2320338,0.3121731,4.140121,4.690445,1,1,0
13,-0.03979903,0.1645908,-0.06901062,0.2658911,3.324219,3.956253,1,1,0
14,-0.2137066,0.2466082,-0.2406566,0.3363689,4.259705,4.944168,1,1,0
15,-0.1777585,0.0496878,-0.2129707,0.1286629,4.570267,4.896698,0.946059,0.9321429,0
16,-0.2587569,0.2237284,-0.3017632,0.3053997,4.759964,5.193619,1,1,0
17,-0.3093187,0.1312069,-0.3499576,0.2166476,4.793457,5.058151,1,1,0
18,-0.08135951,0.02441561,-0.1047181,0.1087102,4.185745,4.563675,1,1,0
19,-0.03878903,0.04006869,-0.06320786,0.1361229,-1,-1,0.6154395,0.5691698,2
20,-0.1388381,0.01606631,-0.1676024,0.1032541,4.640305,4.974472,0.971717,0.946237,1
21,-0.2919728,0.1892695,-0.3327975,0.2794722,4.858078,5.207809,1,1,0
22,-0.05795115,0.008874357,-0.08423799,0.1010563,4.62384,5.030289,1,1,0
23,-0.07716125,0.07375991,-0.1046554,0.1721721,4.888977,5.345413,1,1,0
24,-0.1090645,0.05409259,-0.1364354,0.1428425,-1,4.718567,0.6611717,0.6728663,0
25,-0.133647,0.03923416,-0.1568713,0.1274164,4.950775,5.17041,0.9176388,0.7859134,1
26,-0.108165,0.05092669,-0.1262782,0.1469288,4.903305,5.289047,0.9622261,0.8851954,1
27,0,0,-0.04290909,-0.1240143,-1,-1,0.02182419,0.02548904,1
28,0,0,-0.1596783,0.05716413,-1,-1,0.0995845,0.5525346,1
29,-0.07183439,0.01441085,-0.09080225,0.121263,5.049301,5.399109,0.7558375,0.667442,1
30,0.04181051,0.1801256,0.01234531,0.2791438,5.32515,5.593628,1,1,0
31,-0.1406267,0.04354906,-0.1623651,0.1375435,5.239563,5.610519,0.9363338,0.9299418,0
32,-0.01127052,0.09385026,-0.03418589,0.1992653,5.323532,5.720291,1,1,0
33,0.03231347,0.06335527,0.003983974,0.1608852,5.333481,5.541916,1,1,0
34,0.06357825,0.09791303,0.0336504,0.2050933,5.400101,5.669601,1,1,0
35,-0.2496772,0.1200778,-0.272761,0.217896,5.283829,5.686188,1,1,0
36,-0.3876029,0.06784606,-0.4299563,0.1609231,5.364822,5.726654,1,1,0
37,-0.1493087,0.04106903,-0.1791877,0.1422557,4.839966,4.847183,0.9242151,0.9643561,0
38,-0.09198272,0.04674715,-0.1176319,0.1508213,-1,-1,0.6219771,0.5691564,0
39,-0.1084872,0.05687833,-0.1280484,0.1552764,5.279785,5.578705,0.9720218,0.881971,1
40,-0.08659136,0.151947,-0.1282223,0.251739,5.473389,5.731033,1,1,0
41,-0.2084311,0.2103821,-0.2562395,0.2963102,5.57872,6.058731,1,1,0
42,-0.2343347,0.08478624,-0.2679704,0.1757782,5.435013,5.840683,1,1,0
43,-0.1917021,0.1086444,-0.2148252,0.2115954,5.420624,5.783539,1,1,0
44,-0.1009298,-0.04980552,-0.2093686,0.04108244,-1,5.819946,0.7534938,0.6820199,0
45,-0.174566,0.1959105,-0.2011101,0.3046739,4.975189,5.411926,1,1,0
46,-0.1958861,0.1193602,-0.2203682,0.2405344,-1,5.476105,0.8267142,0.9456064,0
47,-0.180759,0.1392995,-0.2030308,0.2554482,5.249115,5.741714,1,1,0
48,-0.1623071,0.123691,-0.1850567,0.2391496,5.294144,5.759033,1,1,0
49,-0.0778389,0.1192774,-0.09814805,0.2254285,5.363983,5.859543,1,1,0
50,-0.1705227,0.1674832,-0.1993685,0.2726921,5.313889,5.750595,1,1,1
51,-0.1499672,0.1294298,-0.1738918,0.2402276,5.35231,5.817764,1,1,0
52,-0.1575177,0.1327284,-0.176436,0.2426229,5.474762,5.921478,1,1,0
53,-0.2181821,0.119461,-0.23191,0.223148,5.398178,5.924881,0.8670948,0.8961612,0
54,-0.2643613,0.1271794,-0.2775648,0.2193094,5.549377,5.814957,1,1,0
55,-0.1309292,0.1501991,-0.1487495,0.262055,4.404984,4.760712,1,1,0
56,-0.3737073,0.006190479,-0.4312223,0.09587717,-1,-1,0.867052,0.9444811,0
57,-0.05555266,0.1017129,-0.0762468,0.2043753,4.941818,5.214676,1,1,0
58,-0.1151038,0.1006351,-0.1321891,0.2083421,5.23378,5.567932,1,1,0
59,-0.143522,0.1049945,-0.1616061,0.2125304,5.359024,5.697174,0.9559885,0.9603304,0
60,-0.1210735,0.09611422,-0.1434512,0.1990581,5.373367,5.821838,1,1,0
61,-0.1290038,0.09217966,-0.1484166,0.1989853,5.406143,5.877838,1,1,0
62,-0.06690156,0.1871095,-0.08146697,0.296685,5.533798,5.942932,1,1,0
63,-0.0292235,0.1649571,-0.07447714,0.2768738,5.43576,5.956863,1,1,0
64,-0.1678845,0.1079004,-0.1937826,0.2130336,5.427856,5.92627,1,1,0
65,-0.1628957,0.1331493,-0.1770039,0.2366725,5.348038,5.725357,0.8186326,0.7945022,1
66,-0.4018596,0.2337291,-0.4452841,0.3367879,5.572037,5.901642,1,1,1
67,-0.1578483,0.0961566,-0.1820416,0.2066327,5.103836,5.294601,1,1,0
68,-0.223572,0.0312655,-0.2750906,0.1374068,5.219894,5.636093,1,1,0
69,-0.1973897,0.2478821,-0.268
