time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blink
1,-0.2020934,0.1922348,-0.1688707,0.1443629,3.064087,3.421768,1,1,1
2,-0.1461394,0.1397666,-0.1272325,0.08361673,3.534027,3.789017,1,1,0
3,-0.1651652,0.2468693,-0.1537759,0.1975411,3.325836,3.589539,1,1,1
4,-0.1929315,0.203509,-0.1614628,0.1433218,3.555771,3.831192,1,1,0
5,-0.1831183,0.1444734,-0.1971229,0.0811255,3.595825,3.730972,1,1,0
6,-0.04816544,-0.03510511,-0.1423144,-0.09790587,3.641708,3.837692,1,1,0
7,-0.2657529,0.05124122,-0.3611585,-0.003098369,2.665436,2.720001,1,1,0
8,-0.2504784,-0.001551032,-0.3379945,-0.0592339,2.907944,2.705063,1,1,0
9,0.01178133,0.1783827,0.03221166,0.1056314,2.865372,2.908249,1,1,0
10,-0.1913244,0.1502127,-0.154434,0.08415657,3.387756,3.481598,1,1,0
11,-0.238942,0.2553542,-0.215952,0.2084391,2.646118,2.911819,1,1,0
12,-0.2049046,0.164748,-0.18951,0.1146216,2.918655,3.149094,1,1,0
13,-0.1379452,0.1457168,-0.1235265,0.09507585,2.965759,3.083023,1,1,0
14,0.01163626,0.1927325,0.01968181,0.1156485,2.741104,3.053787,1,1,0
15,-0.2061572,0.1899233,-0.1738794,0.1266136,3.20755,3.264755,1,1,0
16,-0.2855358,0.1975869,-0.2720596,0.1511154,2.711975,3.019302,1,1,0
17,-0.3301892,0.1816377,-0.3202902,0.1248885,3.25946,3.346603,1,1,0
18,-0.06591189,0.1547761,-0.04866546,0.09560198,2.703705,2.728668,1,1,0
19,0.03265762,0.2284262,0.08406138,0.1369299,3.047073,3.246124,1,1,0
20,0.1706392,0.1977341,0.2306422,0.1105152,2.459412,3.229034,1,1,0
21,-0.3515179,0.2903882,-0.2956136,0.2361993,-1,-1,1,1,0
22,-0.1682762,0.1483722,-0.126245,0.09665698,3.324173,3.48761,1,1,0
23,-0.2103096,0.1650881,-0.1670194,0.1204246,3.358093,3.695358,1,1,0
24,-0.3879848,0.2380717,-0.3438647,0.2054293,3.452957,3.707886,1,1,0
25,-0.1547632,-0.05565464,-0.1566266,-0.006333113,-1,-1,0,0.2903581,1
26,-0.1733507,0.2214554,-0.139882,0.1792859,3.308701,3.602234,1,1,1
27,-0.02367479,0.1322273,-0.008535683,0.06725276,2.860825,3.072906,1,1,0
28,-0.1882583,-0.07747269,-0.288637,-0.1246047,2.831314,2.889908,1,1,0
29,-0.2559048,0.1510386,-0.2066076,0.09937686,3.291763,3.358444,1,1,0
30,-0.1315667,0.1283818,-0.1192771,0.06825221,3.448792,3.610809,1,1,0
31,-0.03461897,0.03184724,-0.04545164,-0.05932188,-1,-1,0,0.3490562,2
32,-0.2248587,0.1626897,-0.1981233,0.119249,3.358826,3.746689,1,1,1
33,-0.3500032,0.1541221,-0.3186027,0.1027925,3.506226,3.513535,1,1,0
34,-0.4077023,0.2556708,-0.3833084,0.2124479,3.848282,3.575455,1,1,0
35,-0.3845826,0.1393627,-0.3750964,0.09153974,3.460419,3.351913,1,1,0
36,-0.2609964,0.1826212,-0.2547485,0.1333082,2.874893,3.154388,1,1,0
37,-0.1201573,0.06845385,-0.04177201,-0.004320025,-1,-1,0.9374685,0.9251948,0
38,-0.164292,0.05638146,-0.1882277,-0.003482938,3.018982,3.10022,1,1,1
39,-0.2738704,-0.02597427,-0.3714033,-0.07429385,2.710876,2.777023,1,1,0
40,-0.2082716,0.1223557,-0.3342897,0.07106036,2.548019,2.62738,1,1,0
41,-0.2006629,0.005229056,-0.2452825,-0.04527247,2.556305,2.633362,1,1,0
42,-0.2365445,0.2536128,-0.1885742,0.2144171,2.009277,3.063629,1,1,1
43,-0.05449134,0.1071771,-0.035887,0.04760969,2.758041,3.150314,1,1,0
44,-0.4045969,0.1808844,-0.37266,0.1380292,3.48024,3.43956,1,1,0
45,-0.2928848,0.1859041,-0.2465648,0.1324093,3.377609,3.599396,1,1,0
46,0.1699086,0.1810341,0.2074353,0.1102469,2.25209,3.266769,1,1,0
47,0.05272436,0.2468368,0.1181664,0.1811586,3.008698,3.335083,1,1,0
48,-0.2762862,0.1896509,-0.2307208,0.1413662,2.945282,3.498001,1,1,0
