éûä‘,HMDxç¿ïW,HMDyç¿ïW,HMDzç¿ïW
161,-0.05531913,1.370875,0.6060129
162,-0.05530059,1.370834,0.6059538
163,-0.05527273,1.370792,0.6059443
164,-0.05522874,1.370752,0.6058909
165,-0.0551385,1.370711,0.6058532
166,-0.05510768,1.3707,0.6058143
167,-0.05504718,1.370707,0.6057938
168,-0.05498993,1.370683,0.6057457
169,-0.05490905,1.37067,0.6057364
170,-0.05482161,1.370676,0.6056925
171,-0.05473587,1.37072,0.6056169
172,-0.05466619,1.370734,0.6055628
173,-0.05459949,1.370749,0.6055096
174,-0.05456439,1.370779,0.6054317
175,-0.05452892,1.370839,0.6053721
176,-0.05446115,1.370878,0.6052927
177,-0.05437738,1.37089,0.6051847
178,-0.05423072,1.370942,0.6051255
179,-0.0541217,1.370983,0.6050948
180,-0.05403194,1.371049,0.6050521
181,-0.05396384,1.371084,0.6050125
182,-0.05388868,1.371152,0.6049913
183,-0.05381906,1.371209,0.6049076
184,-0.05380791,1.37128,0.6048585
185,-0.05374995,1.371347,0.6047751
186,-0.0537397,1.371362,0.6046847
187,-0.05369571,1.371382,0.6046439
188,-0.05351403,1.371409,0.6045645
189,-0.05344981,1.371451,0.6045519
190,-0.05339473,1.37146,0.6045331
191,-0.05333936,1.371489,0.6045364
192,-0.05335888,1.371524,0.6045364
193,-0.05331615,1.371501,0.6045455
194,-0.05333123,1.371484,0.604489
195,-0.05331501,1.371492,0.6045042
196,-0.05330583,1.371491,0.6044856
197,-0.05323008,1.371483,0.6044286
198,-0.0531942,1.371464,0.6044117
199,-0.05315381,1.371477,0.6043884
200,-0.05317238,1.371484,0.6043092
201,-0.05318937,1.371469,0.6042844
202,-0.05320591,1.371471,0.6042312
203,-0.05325007,1.371457,0.6041874
204,-0.05328962,1.371444,0.6040889
205,-0.05330816,1.371436,0.6040522
206,-0.05329537,1.371335,0.6040589
207,-0.05333492,1.371301,0.6040381
208,-0.05335936,1.371307,0.6040646
209,-0.05340159,1.371256,0.604055
210,-0.05344668,1.371249,0.6040372
211,-0.05348977,1.371225,0.6040169
212,-0.0535081,1.371162,0.6039406
213,-0.05350131,1.37122,0.6038998
214,-0.05353943,1.371197,0.603861
215,-0.05351996,1.371192,0.6038374
216,-0.05353916,1.371192,0.6037487
217,-0.05351403,1.371171,0.6037196
218,-0.05352315,1.371154,0.603644
219,-0.05356508,1.371151,0.603603
220,-0.05359218,1.371138,0.6035277
221,-0.0536167,1.371129,0.6034611
222,-0.05361587,1.371086,0.6034166
223,-0.05363944,1.371079,0.6033584
224,-0.05361855,1.371019,0.6033412
225,-0.05362046,1.371009,0.6033159
226,-0.05361041,1.370992,0.6032499
227,-0.05359188,1.370969,0.6032053
228,-0.05356222,1.370964,0.6031326
229,-0.05355653,1.370942,0.6030792
230,-0.05357391,1.370938,0.6030055
231,-0.05359179,1.370981,0.602887
232,-0.05362153,1.371016,0.6028212
233,-0.05361724,1.371035,0.6027335
234,-0.05360216,1.37107,0.6026036
235,-0.05362129,1.371039,0.6024929
236,-0.05362585,1.371051,0.6023849
237,-0.05367973,1.371057,0.6022719
238,-0.05367693,1.370998,0.6022311
239,-0.05371389,1.371024,0.6021506
240,-0.05371729,1.371075,0.6020256
241,-0.05372503,1.371087,0.6019608
242,-0.05371949,1.371073,0.6019212
243,-0.05371425,1.371033,0.6017851
244,-0.05378219,1.371029,0.6016799
245,-0.0537875,1.371014,0.6016108
246,-0.053817,1.371019,0.6015173
247,-0.0538187,1.371027,0.6014084
248,-0.0538677,1.37106,0.6013449
249,-0.05389774,1.371009,0.6012985
250,-0.0539065,1.37097,0.6012326
251,-0.05389369,1.371031,0.6011947
252,-0.05391112,1.370999,0.60118
253,-0.05387822,1.371013,0.6011668
254,-0.05387127,1.371037,0.6010777
255,-0.05383661,1.371017,0.6010443
256,-0.05378598,1.371003,0.6010312
257,-0.05377188,1.370984,0.6010131
258,-0.05376187,1.37092,0.6009654
259,-0.05370903,1.370898,0.600849
260,-0.05366567,1.370879,0.6007999
261,-0.05363727,1.370874,0.6008643
262,-0.05363217,1.37087,0.6008183
263,-0.05360219,1.370895,0.6007868
264,-0.05361798,1.370888,0.6007029
265,-0.0535709,1.370901,0.6006461
266,-0.05354613,1.370916,0.6006211
267,-0.05350599,1.370955,0.6006175
268,-0.05346486,1.370944,0.6005167
269,-0.05345306,1.370915,0.6004571
270,-0.05340719,1.37092,0.6004122
271,-0.05334273,1.370922,0.600403
272,-0.05330625,1.370951,0.6003853
273,-0.0532364,1.371011,0.6004118
274,-0.05325192,1.371001,0.6003398
275,-0.05320379,1.371019,0.6003462
276,-0.05318412,1.371057,0.6003238
277,-0.05313852,1.371081,0.6003433
278,-0.05306557,1.371139,0.6002876
