Blink,time,count,tempblink
0.3533334,1,1,1
0.4594024,1,1,1
0.5762122,1,1,1
0.7196586,1,1,1
0.8213733,1,1,1
0.9304674,1,1,1
1.041223,1,1,0
1.142638,1,2,0
1.250626,1,2,0
1.353854,1,2,0
1.465479,1,2,0
1.566404,2,2,1
1.672017,2,2,1
1.783129,2,2,1
1.894519,2,2,1
2.003144,2,2,1
2.114124,2,3,0
2.223712,2,3,0
2.329173,2,3,0
2.438562,2,3,0
2.553761,2,3,0
2.660218,2,3,0
2.771905,2,3,0
2.887213,2,3,0
2.99376,2,3,0
3.103912,2,3,0
3.209117,2,4,0
3.318926,2,4,0
3.428979,2,4,0
3.533903,2,4,0
3.642169,3,4,1
3.747364,4,4,2
3.859185,4,4,2
3.961296,4,4,2
4.067656,4,4,0
4.16927,4,5,0
4.28378,4,5,0
4.399094,4,5,0
4.5131,4,5,0
4.628522,4,5,0
4.730366,4,5,0
4.845991,4,5,0
4.959591,4,5,0
5.062879,4,5,0
5.176058,4,6,0
5.282057,4,6,0
5.386779,4,6,0
5.492121,4,6,0
5.595243,4,6,0
5.698756,4,6,0
5.803775,4,6,0
5.909265,4,6,0
6.013858,4,6,0
6.120555,4,7,0
6.225626,4,7,0
6.332469,4,7,0
6.437493,4,7,0
6.541188,4,7,0
6.649545,4,7,0
6.756536,4,7,0
6.865707,4,7,0
6.974972,4,7,0
7.0
