time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blink
0,-0.1253926,0.08899736,-0.1589087,0.1747319,4.044144,4.44046,1,1,0
2,-0.2217694,-0.06525862,-0.2999669,0.01077467,-1,-1,0.5987798,0.6174797,0
3,-0.2024687,-0.08446324,-0.3292479,0.006186247,-1,-1,0.7426477,0.6958849,0
4,-0.1213606,0.1257927,-0.1470994,0.2285905,4.720306,5.14093,1,1,0
5,-0.1323053,0.1336571,-0.1527148,0.2371849,4.998123,5.473099,1,1,0
6,-0.2129105,0.1241182,-0.2336658,0.2254075,5.110214,5.45755,1,1,0
7,-0.2132522,0.0691278,-0.2440565,0.1642924,5.186798,5.566711,0.8822002,0.9037143,0
8,-0.05779809,0.08143634,-0.08810937,0.1921893,5.085892,5.717758,0.9628668,0.9320956,0
9,-0.1057426,0.1252077,-0.1341069,0.2356389,5.2267,5.63385,1,1,0
10,-0.1547537,0.1235643,-0.1918833,0.2327099,5.24231,5.792618,1,1,0
11,-0.05688334,0.1441185,-0.09204817,0.2527124,5.316879,5.728943,1,1,0
12,0.0191927,0.1217363,-0.01180071,0.2213135,5.369064,5.674423,1,1,0
13,0.02310908,0.09258825,-0.0038180
