time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blink
0,0,0,0,0,-1,-1,1,1,0
2,0,0,0,0,-1,-1,1,1,0
3,0,0,0,0,-1,-1,1,1,0
4,0,0,0,0,-1,-1,1,1,0
5,0,0,0,0,-1,-1,1,1,0
6,0,0,0,0,-1,-1,1,1,0
7,0,0,0,0,-1,-1,1,1,0
8,0,0,0,0,-1,-1,1,1,0
9,-0.08762342,-0.2421342,0.07789135,-0.08337724,4.048813,2.790771,1,1,1
10,-0.1138524,-0.04564762,-0.02731586,-0.03065121,-1,-1,0,0,4
11,-0.08728027,-0.2359014,-0.01501298,-0.2426332,3.759033,-1,0.8815401,0.8038456,3
12,0.02218151,-0.1983509,0.07862103,-0.2133937,3.695282,3.599976,1,1,0
13,-0.2328073,-0.1687613,-0.1373435,-0.2217654,3.741165,3.424255,0.4382652,0.4318077,1
14,-0.3230051,-0.1093774,-0.2689798,-0.1587409,4.50061,4.596573,1,1,0
15,-0.3484596,-0.1503202,-0.2679231,-0.1836571,4.144073,4.233917,1,1,0
16,-0.4035653,-0.1707718,-0.3203864,-0.231563,4.328384,4.253891,0.8053828,0.8980622,0
17,-0.2765418,-0.1706368,-0.202807,-0.2064384,4.019928,4.005341,0.816767,0.9132729,0
18,-0.2936866,0.01408136,-0.1155
