time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blink
1,0,0,0,0,-1,-1,1,1,0
2,0,0,0,0,-1,-1,1,1,0
3,0,0,0,0,-1,-1,1,1,0
4,0.1821914,-0.5221699,0,0,-1,-1,0.5339949,0.2079973,1
5,-0.187276,-0.1272578,-0.01819968,-0.0716536,5.127853,5.604904,0.9201879,0.7355539,1
6,0.1663761,0.3433934,0.3220041,0.267988,-1,-1,0.3798188,0,2
7,-0.1297057,0.1841016,0.04892552,0.1406949,-1,-1,0.5178471,0.1463577,1
8,0.52517,0.1134253,0.5565834,-0.06366169,-1,-1,0,0,3
9,-0.08784652,0.312908,0.04213071,0.2662409,4.023041,3.856155,1,1,0
10,-0.2492136,0.1230031,0.1544157,0.02095705,-1,-1,0,0,2
11,-0.1060156,0.3271878,0.06488073,0.27185,4.789047,4.381927,0.6143474,0.4866128,2
12,-0.07540858,0.2136253,0.07252729,0.1463857,4.435898,4.186188,0.5922599,0.4001696,1
13,-0.1984155,0.06218964,0.03923035,-0.003045082,-1,-1,0,0.1,2
14,-0.1134622,0.1694942,-0.002151668,0.09986997,4.167236,3.922379,0.7695696,0.6623982,3
15,-0.08192933,0.1597179,0.03042924,0.1010779,4.111862,3.90
