time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blink
0,0,0,0,0,-1,-1,1,1,0
1,0,0,0,0,-1,-1,1,1,0
3,0,0,0,0,-1,-1,1,1,0
4,0,0,0,0,-1,-1,1,1,0
5,0,0,0,0,-1,-1,1,1,0
6,0,0,0,0,-1,-1,1,1,0
7,0,0,0,0,-1,-1,1,1,0
8,0,0,0,0,-1,-1,1,1,0
9,0,0,0,0,-1,-1,1,1,0
10,0,0,0,0,-1,-1,1,1,0
11,0,0,0,0,-1,-1,1,1,0
12,0,0,0,0,-1,-1,1,1,0
13,0,0,0,0,-1,-1,1,1,0
14,0,0,0,0,-1,-1,1,1,0
15,0,0,0,0,-1,-1,1,1,0
16,0,0,0,0,-1,-1,1,1,0
17,0,0,0,0,-1,-1,1,1,0
18,0,0,0,0,-1,-1,1,1,0
19,0,0,0,0,-1,-1,1,1,0
20,0,0,0,0,-1,-1,1,1,0
21,0.2770025,-0.08533692,0.3983774,-0.3178111,4.441635,4.486847,1,1,1
22,0.01050127,0.007481992,0.1283655,0.06280673,-1,-1,0.7276491,0.5420778,3
23,-0.042974,-0.01915586,0.06454122,0.04695731,-1,-1,0.8591873,0.7398064,0
24,-0.5680479,-0.04670191,-0.2119209,0.03277147,-1,-1,0.3864939,0.3827378,0
25,-0.5048708,-0.137573,-0.3999899,-0.03926814,4.60051,4.321259,1,1,0
26,-0.03024709,-0.1542062,0,0,-1,-1,0,0,2
27,-0.3738272,-0.000939846,
