Blink,time,count,tempblink
0.3533334,0,1,0
0.4547431,0,1,0
0.5569409,0,1,0
0.6721302,0,1,0
0.787568,0,1,0
0.8907636,0,1,0
0.9936357,0,1,0
1.104077,0,1,0
1.216121,0,2,0
1.330392,0,2,0
1.434209,0,2,0
1.54576,0,2,0
1.65437,0,2,0
1.755232,0,2,0
1.866814,0,2,0
1.980915,0,2,0
2.095526,0,2,0
2.20911,0,3,0
2.310012,0,3,0
2.424718,0,3,0
2.538389,0,3,0
2.639541,0,3,0
2.746321,0,3,0
3.145586,0,3,0
3.255925,0,4,0
3.358768,0,4,0
3.472023,0,4,0
3.588814,0,4,0
3.692232,0,4,0
3.79277,0,4,0
3.904872,0,4,0
4.006596,0,4,0
4.120132,0,5,0
4.233218,0,5,0
4.344955,0,5,0
4.460292,0,5,0
4.568122,0,5,0
4.685885,0,5,0
4.796456,0,5,0
4.903317,0,5,0
5.003523,0,5,0
5.104368,0,6,0
5.219698,0,6,0
5.373721,0,6,0
5.490046,0,6,0
5.608053,0,6,0
5.727807,0,6,0
5.846733,0,6,0
5.949812,0,6,0
6.051688,0,6,0
6.166202,0,7,0
6.285482,0,7,0
6.401101,0,7,0
6.516896,0,7,0
6.635081,0,7,0
6.735393,0,7,0
6.853467,0,7,0
6.955015,0,7,0
7.065915,0,7,0
7.179842,0,8,0
7.280856,0,8,0
7.39574,0,8,0
7.508212,0,8,0
7.620969,0,8,0
7.745781,0,8,0
7.853637,0,8,0
7.968884,0,8,0
8.069668,0,8,0
8.183091,0,9,0
8.298334,0,9,0
8.412159,0,9,0
8.528465,0,9,0
8.642822,0,9,0
8.743367,0,9,0
8.844118,0,9,0
8.960335,0,9,0
9.061324,0,9,0
9.161686,0,10,0
9.276826,0,10,0
9.379057,0,10,0
9.483224,0,10,0
9.584075,0,10,0
9.695039,0,10,0
9.810952,0,10,0
9.92398,0,10,0
10.02929,0,10,0
10.13273,0,11,0
10.24452,0,11,0
10.36033,0,11,0
10.46153,0,11,0
10.56345,0,11,0
10.66982,0,11,0
10.77305,0,11,0
10.88253,0,11,0
10.99322,0,11,0
11.10388,0,11,0
11.22079,0,12,0
11.3318,0,12,0
11.44251,0,12,0
11.54281,0,12,0
11.64443,0,12,0
11.7568,0,12,0
11.8714,0,12,0
11.98213,0,12,0
12.09782,0,12,0
12.21372,0,13,0
12.32338,0,13,0
12.43719,0,13,0
12.5395,0,13,0
12.65338,0,13,0
12.76673,0,13,0
12.87191,0,13,0
12.98294,0,13,0
13.08369,0,13,0
13.19893,0,14,0
13.31251,0,14,0
13.42496,0,14,0
13.53377,0,14,0
13.63663,0,14,0
13.73916,0,14,0
13.84302,0,14,0
13.94683,0,14,0
14.04778,0,14,0
14.16582,0,15,0
14.26592,0,15,0
14.37755,0,15,0
14.49126,0,15,0
14.59336,0,15,0
14.69442,0,15,0
14.79599,0,15,0
14.89864,0,15,0
15.01322,0,15,0
15.1262,0,16,0
15.22715,0,16,0
15.33591,0,16,0
15.43855,0,16,0
15.55409,0,16,0
15.66409,0,16,0
15.77726,0,16,0
15.88924,0,16,0
15.99143,0,16,0
16.10822,0,16,0
16.21248,0,17,0
16.3273,0,17,0
16.44037,0,17,0
16.54568,0,17,0
16.64656,0,17,0
16.75813,0,17,0
16.8717,0,17,0
16.98472,0,17,0
17.09621,0,17,0
17.20638,0,18,0
17.31785,0,18,0
17.43235,0,18,0
17.54602,0,18,0
17.65754,0,18,0
17.77316,0,18,0
17.88771,0,18,0
17.99907,0,18,0
18.10817,0,18,0
18.21891,0,19,0
18.3315,0,19,0
18.43239,0,19,0
18.54122,0,19,0
18.64866,0,19,0
18.76343,0,19,0
18.87471,0,19,0
18.98631,0,19,0
19.09877,0,19,0
19.20973,0,20,0
19.31088,0,20,0
19.42313,0,20,0
19.52447,0,20,0
19.62486,0,20,0
19.72865,0,20,0
19.84032,0,20,0
19.95423,0,20,0
20.06435,0,20,0
20.16621,0,21,0
20.2692,0,21,0
20.38303,0,21,0
20.49941,0,21,0
20.60126,0,21,0
20.70207,0,21,0
20.80379,0,21,0
20.90876,0,21,0
21.0148,1,21,1
21.12433,1,22,0
21.22494,1,22,0
21.33219,1,22,0
21.44775,1,22,0
21.55052,2,22,1
21.6551,2,22,1
21.76467,2,22,1
21.8751,3,22,2
21.98413,3,22,2
22.08529,3,22,2
22.19071,4,23,1
22.29581,4,23,1
22.40787,4,23,1
22.51605,4,23,1
22.61905,4,23,1
22.73214,4,23,1
22.84165,4,23,1
22.95204,4,23,1
23.06372,4,23,1
23.1751,4,24,0
23.28425,4,24,0
23.39194,4,24,0
23.50634,4,24,0
23.61469,4,24,0
23.72006,4,24,0
23.82155,4,24,0
23.92495,4,24,0
24.0325,4,24,0
24.14273,4,25,0
24.24718,4,25,0
24.36568,4,25,0
24.47193,4,25,0
24.57889,4,25,0
24.68133,4,25,0
24.78698,4,25,0
24.88814,4,25,0
24.9953,4,25,0
25.09533,4,25,0
25.21323,4,26,0
25.32567,4,26,0
25.42996,4,26,0
25.54435,4,26,0
25.6447,4,26,0
25.76129,4,26,0
25.8732,5,26,1
25.98856,5,26,1
26.0948,6,26,2
26.19852,6,27,0
26.30636,6,27,0
26.40701,6,27,0
26.50928,6,27,0
26.61971,6,27,0
26.72152,6,27,0
26.82999,6,27,0
26.9331,7,27,1
27.04277,7,27,1
27.14891,7,28,0
27.25971,7,28,0
27.36823,7,28,0
27.46952,8,28,1
27.588,8,28,1
27.69901,8,28,1
27.80275,8,28,1
27.91418,8,28,1
28.02599,8,28,1
28.14325,8,29,0
28.24705,8,29,0
28.36674,8,29,0
28.46742,8,29,0
28.56989,8,29,0
28.68233,8,29,0
28.79376,8,29,0
28.90286,8,29,0
29.01346,8,29,0
29.12252,8,30,0
29.23035,8,30,0
29.34369,9,30,1
29.45892,10,30,2
29.57193,10,30,2
29.67512,10,30,2
29.79185,11,30,3
29.90539,11,30,3
30.02197,11,30,3
30.14004,11,31,0
