time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blink
0,0,0,0,0,-1,-1,1,1,0
2,0,0,0,0,-1,-1,1,1,0
3,0,0,0,0,-1,-1,1,1,0
4,0,0,0,0,-1,-1,1,1,0
5,-0.1053311,-0.1478766,0.08234608,-0.05758929,-1,3.526596,0.9758056,0.6955138,1
6,-0.1490605,0.3270761,-0.005740047,0.2610321,4.427017,4.20015,0.5655628,0.6420488,2
7,-0.05064887,0.4041592,0.0968256,0.3165939,4.130463,4.16478,1,1,2
8,-0.04709458,0.3990462,0.1557076,0.3379498,4.338455,3.879852,0.05429863,0.1867943,2
9,-0.06444716,0.211369,-0.01435637,0.1933849,-1,-1,0,0.05243101,3
10,-0.1288136,0.2176328,-0.004739225,0.09120208,-1,-1,0.1,0,2
11,-0.01824409,0.4313703,0.1494248,0.3449986,4.152344,4.032242,1,1,2
12,-0.2271544,0.1819573,-0.02251917,0.1717622,-1,-1,0,0.05283888,2
13,-0.2564612,0.2678044,0.1085172,0.170157,-1,-1,0.1,0.08935583,2
14,-0.06955034,0.4297877,0.1237425,0.3851835,3.921539,4.25531,0.2211096,0.4736758,2
15,-0.02135909,0.3489088,0.1159359,0.2774242,3.864685,3.901108,0.5582523,0.670
