time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blinktiming
0.3533334,0.003703594,-0.1128186,0.1069196,-0.104815,4.534378,4.430283,1,1,blinked
0.4594024,-0.04859483,0.1409763,0.03381073,0.1457994,4.662628,4.659058,0.7553743,0.7073944,null
0.5762122,-0.05664778,0.04759371,0.02505684,0.05690718,4.746643,4.565414,1,1,null
0.7196586,-0.07526034,0.03016859,0.01476467,0.03810561,4.460739,4.166275,1,1,null
0.8213733,-0.08528417,0.02573884,0.006741762,0.03412145,4.338837,4.157928,1,1,null
0.9304674,0.03298283,-0.1246539,0.0997231,-0.1193602,4.300781,4.116165,1,1,null
1.041223,0.02249849,-0.1037561,0.09874487,-0.1060288,4.218933,4.210083,1,1,null
1.142638,0.04610384,-0.1174786,0.1294669,-0.1149727,4.334747,4.240143,1,1,null
1.250626,0.2748599,-0.1775506,0.3346058,-0.1950701,4.440964,4.51149,1,1,null
1.353854,0.2374642,-0.1314683,0.3084453,-0.1564465,4.589767,4.469482,1,1,null
1.465479,0.2401745,-0.008718252,0.3234001,-0.015311,4.587753,4.470398,1,1,null
1.566404,0.1608368,0.08997571,0.376677,0.1339244,-1,-1,0.3048898,0.3035908,blinked
1.672017,0.1215478,0.06000793,0.2183589,0.0844267,4.436829,4.413025,1,1,null
1.783129,0.03868878,0.07245445,0.1352212,0.1054314,4.06633,4.074036,1,1,null
1.894519,-0.0138334,0.06180632,0.07507539,0.0972175,4.293442,4.194016,1,1,null
2.003144,-0.05474365,0.04105157,0.04075146,0.08079165,4.195953,4.099014,1,1,null
2.114124,-0.0640341,0.0007119179,0.04161251,0.03532577,4.110397,4.009277,1,1,null
2.223712,-0.12897,0.062693,-0.035308,0.09210074,4.100189,4.011475,1,1,null
2.329173,-0.10291,0.02902311,0.00591588,0.06390077,3.980667,4.018341,1,1,null
2.438562,-0.0745827,0.1072014,0.01752841,0.1396121,4.148499,4.124771,1,1,null
2.553761,-0.05342764,0.07958376,0.0502634,0.113824,4.087997,4.126007,1,1,null
2.660218,-0.06912798,0.08513761,0.07413483,0.1256074,4.144135,3.942383,1,1,null
2.771905,-0.01918584,-0.06117952,0.1055868,-0.03167331,4.151245,3.872513,0.6802503,0.7832585,null
2.887213,-0.0007640123,-0.004978299,0.1283426,0.03336716,4.109589,3.968002,0.9023876,0.9848648,null
2.99376,-0.006460011,0.01777452,0.1187317,0.05204618,4.203384,4.002899,1,1,null
3.103912,-0.02266008,-0.05627263,0.083125,-0.0238893,4.307312,4.116516,0.8991936,0.8959107,null
3.209117,-0.04145408,-0.03719699,0.07703292,-0.001566052,4.270142,4.11821,0.91825,0.9009442,null
3.318926,-0.03072131,0.005136728,0.09793437,0.03379214,4.350021,4.195709,0.9109949,0.9568716,null
3.428979,-0.1355813,-0.09591103,0.0137161,-0.127628,-1,-1,0.4493393,0.3221316,null
3.533903,-0.3908659,-0.06256104,-0.1177722,-0.1158444,4.948257,3.296844,0.3708935,0.2403165,null
3.642169,0,0,0,0,-1,-1,0.04234368,0,blinked
