Blink,time,count,tempblink
0.3533334,0,1,0
0.4662441,0,1,0
0.5753583,0,1,0
0.7159671,0,1,0
0.8174424,0,1,0
0.93305,0,1,0
1.040887,0,1,0
1.157399,0,2,0
1.270658,0,2,0
1.382089,0,2,0
1.48638,0,2,0
1.588469,0,2,0
1.691812,0,2,0
1.796883,0,2,0
1.899933,0,2,0
2.013361,0,2,0
2.126836,0,3,0
2.233602,0,3,0
2.334704,0,3,0
2.446998,0,3,0
2.550848,0,3,0
2.66855,0,3,0
2.770856,0,3,0
2.876128,0,3,0
2.982857,0,3,0
3.084008,0,3,0
3.193396,0,4,0
3.293601,0,4,0
3.398535,0,4,0
3.500597,0,4,0
3.617104,0,4,0
3.723432,0,4,0
3.825781,0,4,0
3.928839,1,4,1
4.039271,1,4,0
4.146926,1,5,0
4.257432,1,5,0
4.368553,1,5,0
4.475707,1,5,0
4.585017,1,5,0
4.698722,1,5,0
4.798898,1,5,0
4.912163,1,5,0
5.023765,1,5,0
5.138852,1,6,0
5.253612,1,6,0
5.358734,1,6,0
5.466067,1,6,0
5.576391,1,6,0
5.688421,1,6,0
5.798697,1,6,0
5.906863,1,6,0
6.016888,1,6,0
6.126153,1,7,0
6.238803,1,7,0
6.349536,1,7,0
6.461404,1,7,0
6.578073,1,7,0
6.68758,1,7,0
6.794501,1,7,0
6.904042,1,7,0
7.015053,1,7,0
7.120971,1,8,0
7.224197,1,8,0
7.340862,1,8,0
7.447839,1,8,0
7.555049,1,8,0
7.65807,1,8,0
7.763148,1,8,0
7.869439,1,8,0
7.971402,1,8,0
8.073122,1,8,0
8.177934,1,9,0
8.287455,1,9,0
8.395372,1,9,0
8.498735,1,9,0
8.603156,1,9,0
8.713582,1,9,0
8.819639,1,9,0
8.925679,1,9,0
9.035084,1,9,0
9.143029,1,10,0
9.245611,1,10,0
9.347596,1,10,0
9.460024,1,10,0
9.568155,1,10,0
9.684109,1,10,0
9.799945,1,10,0
9.909794,1,10,0
10.02112,1,10,0
10.13038,1,11,0
10.23588,1,11,0
10.35027,1,11,0
10.46483,1,11,0
10.57747,1,11,0
10.69293,1,11,0
10.80469,1,11,0
10.91265,1,11,0
11.02255,1,11,0
11.13593,1,12,0
11.24176,1,12,0
11.34727,1,12,0
11.456,1,12,0
11.56709,1,12,0
11.67964,1,12,0
11.79182,1,12,0
11.90246,1,12,0
