time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blink
0,-0.07168579,0.1307936,-0.08972108,0.2205122,4.026535,4.416016,0.8736551,0.6774036,1
1,0.07362831,0.102096,0.03575444,0.1958027,4.62178,5.133713,0.9667293,0.8416088,0
3,-0.2455643,0.1997795,-0.2754503,0.2860895,4.996033,5.371277,1,1,0
4,-0.2150909,0.2621278,-0.2441817,0.3542592,-1,-1,0.6630048,0.9049366,1
5,-0.1812326,0.1370078,-0.2037596,0.2310881,4.648605,5.147141,1,1,0
6,-0.1830522,0.1152717,-0.2096274,0.2046171,4.853424,5.383591,0.9137296,0.9272134,1
7,-0.1538301,0.1239592,-0.1701863,0.2173097,4.935547,5.448654,0.9960768,0.9608013,0
8,-0.2896583,0.1598884,-0.3166305,0.2489175,5.223007,5.625732,1,1,0
9,-0.2400404,0.210138,-0.2664,0.3103981,5.242996,5.562927,1,1,0
10,-0.1430591,0.13617,-0.161015,0.2346733,5.095367,5.597458,1,1,0
11,-0.1259184,0.1057324,-0.149991,0.2009544,5.107086,5.546799,1,1,0
12,-0.1486143,0.1036037,-0.1674303,0.1984318,5.123505,5.474945,0.8554471,0.6858209,0
13,-0
