Blink,time,count
Blinked,0.02,1
Blinked,17.95294,2
Blinked,19.36305,3
Blinked,19.93242,4
Blinked,20.44437,5
Blinked,21.62017,6
Blinked,22.93379,7
Blinked,24.9251,8
Blinked,25.1981,9
Blinked,26.28296,10
Blinked,28.58147,11
Blinked,29.02818,12
Blinked,29.23834,13
Blinked,30.05082,14
Blinked,30.87505,15
Blinked,31.23822,16
Blinked,32.62832,17
Blinked,35.00105,18
Blinked,36.44148,19
Blinked,37.10329,20
Blinked,37.51082,21
Blinked,37.84808,22
Blinked,39.62458,23
Blinked,40.16827,24
Blinked,41.56842,25
Blinked,42.06717,26
Blinked,42.54168,27
Blinked,43.16927,28
Blinked,43.57272,29
Blinked,44.06045,30
Blinked,44.75138,31
Blinked,50.20855,32
Blinked,51.59114,33
Blinked,60.64496,34
Blinked,71.04993,35
Blinked,77.88962,36
Blinked,78.75876,37
Blinked,78.98193,38
Blinked,79.3186,39
Blinked,79.65768,40
Blinked,80.37745,41
Blinked,83.72425,42
Blinked,89.05506,43
Blinked,89.93461,44
Blinked,90.97116,45
Blinked,96.26075,46
Blinked,97.22766,47
Blinked,98.85268,48
Blinked,105.1024,49
Blinked,105.6623,50
Blinked,106.1951,51
Blinked,115.2491,52
Blinked,119.5553,53
Blinked,126.9279,54
Blinked,128.0498,55
Blinked,129.2611,56
Blinked,133.8015,57
Blinked,134.5248,58
Blinked,136.1646,59
Blinked,137.4136,60
Blinked,138.1962,61
Blinked,138.3479,62
Blinked,141.9456,63
Blinked,144.1256,64
Blinked,145.8327,65
Blinked,145.8735,66
Blinked,151.1312,67
Blinked,153.1248,68
Blinked,155.0003,69
Blinked,156.3386,70
Blinked,157.2283,71
Blinked,158.5637,72
Blinked,159.9704,73
Blinked,164.3363,74
Blinked,168.3576,75
Blinked,171.1939,76
Blinked,171.6843,77
Blinked,174.2697,78
Blinked,180.6924,79
Blinked,181.5252,80
Blinked,184.522,81
Blinked,188.853,82
Blinked,190.697,83
Blinked,192.5619,84
Blinked,192.6251,85
Blinked,198.9594,86
Blinked,204.9864,87
Blinked,205.0297,88
Blinked,216.3098,89
Blinked,218.0513,90
Blinked,237.995,91
Blinked,239.2569,92
Blinked,261.002,93
Blinked,288.884,94
Blinked,288.9563,95
Blinked,289.1517,96
Blinked,315.2702,97
Blinked,325.729
