time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blink
0,-0.05838615,-0.20837,-0.03297865,-0.1529719,3.359863,3.410309,1,1,0
1,-0.06324494,-0.1745381,-0.04469818,-0.1184647,3.724869,3.702637,0.940617,0.8620052,0
3,0.05202532,-0.174868,0.05981135,-0.1358833,3.907379,3.936554,1,1,0
4,-0.01913953,-0.1658473,-0.01227069,-0.1045089,3.921722,3.942383,1,1,0
5,-0.2168591,-0.1624389,-0.21002,-0.09563971,4.175415,4.195267,0.9825009,0.8918599,0
6,-0.2421333,-0.162017,-0.2230034,-0.08854365,3.639603,3.787155,1,1,0
7,-0.1331047,-0.170535,-0.1090712,-0.0897311,3.000519,3.080704,1,1,0
8,-0.05487657,-0.1872389,-0.02601135,-0.1045868,2.985291,3.015091,1,1,0
9,-0.20494,-0.2157769,-0.1867218,-0.1345271,2.871826,2.960052,1,1,0
10,-0.1141662,-0.2131736,-0.09668887,-0.134075,3.107849,3.015762,1,1,0
11,-0.1057504,-0.2304474,-0.08731097,-0.1527185,2.556427,2.672165,1,1,0
12,0.09610367,-0.1807418,0.09808874,-0.1290054,2.784042,2.714706,1,1,0
13,-0.08349991,-0.2152126,-0.06880891,-0.1565292,2.944504,2.965927,1,1,0
14,0.05355251,-0.1900727,0.07670856,-0.1410719,2.976761,3.05217,1,1,0
15,0.0162344,-0.1976463,0.02966011,-0.1466224,2.938324,2.970093,0.9528587,0.9190409,0
16,-0.02405441,-0.3586138,-0.08641642,-0.2285225,-1,-1,0,0,1
17,0,0,0,0,-1,-1,0,0,2
18,-0.1186858,-0.2225363,-0.09464568,-0.1693056,3.364349,3.393417,0.9024348,0.9107291,0
19,-0.1518096,-0.194016,-0.1369919,-0.1237694,3.086975,3.16423,1,1,0
20,-0.1897239,-0.2149504,-0.1729338,-0.1351073,2.784241,2.780991,0.9591458,0.9711772,0
21,-0.149769,-0.2313815,-0.1342795,-0.1629639,2.686127,2.928741,0.9502159,0.8816881,0
22,-0.1734101,-0.2094747,-0.1548257,-0.1365458,2.789093,2.734802,0.943818,0.9996144,0
23,-0.1485159,-0.2097092,-0.1293452,-0.1413265,3.019318,2.840881,0.9478465,0.9190843,0
24,-0.1565952,-0.1966929,-0.1401966,-0.1302667,3.221069,3.20636,0.9794406,0.981657,0
25,0.05975032,-0.2128621,0.06894159,-0.1551051,3.158325,3.145309,0.9480622,0.910627,0
26,-0.02916753,-0.1742507,-0.01392609,-0.1145731,3.530823,3.681732,0.8994315,0.7911558,0
27,0.01110983,-0.1924304,-0.00469619,-0.1364278,3.529388,3.473679,0.9623706,0.9004271,0
28,0.3231796,-0.1986153,0.2865332,-0.1728091,4.161652,4.185074,0.9760766,0.9489131,0
