ïbêî,ç∂ìµçEåa,âEìµçEåa,ç∂ñ⁄ÇÃäJÇ´ãÔçá,âEñ⁄ÇÃäJÇ´ãÔçá,1ïbìñÇΩÇËÇÃèuÇ´âÒêî
567,3.595413,3.395172,1,1,1
568,-1,-1,0,0,3
569,3.695984,3.577789,0.7111438,0.7545224,2
570,-1,-1,0,0,1
571,-1,-1,0.1,0,3
572,-1,-1,0.1,0.1,2
572,-1,-1,0.1,0.1,0
573,3.424835,3.303101,1,1,2
574,3.743698,3.828842,0.9835269,0.9268309,0
575,3.214096,3.151352,1,1,0
576,3.652618,3.513092,0.7949593,0.9418301,2
577,3.07222,2.949387,1,1,0
578,3.597778,3.559067,0.6808617,0.7855541,1
579,-1,-1,0,0,1
579,-1,-1,0,0,0
580,-1,-1,0.08425089,0,0
580,-1,-1,0.08425089,0,0
581,3.327316,3.535019,0.6574389,0.7482116,1
581,3.327316,3.535019,0.6574389,0.7482116,0
582,-1,-1,0,0,2
583,-1,-1,0,0.01099828,3
583,-1,-1,0,0.01099828,0
584,-1,-1,0,0,4
584,-1,-1,0,0,0
585,3.129532,3.155411,0.5720561,0.5290718,0
586,3.054428,3.054153,1,1,1
587,3.0793,3.177811,0.9273583,0.9734854,3
588,-1,-1,1,1,2
588,-1,-1,1,1,0
589,-1,-1,1,1,0
590,-1,-1,1,1,0
591,-1,-1,1,1,0
592,-1,-1,1,1,0
593,-1,-1,1,1,0
594,-1,-1,1,1,0
595,-1,-1,1,1,0
596,-1,-1,1,1,0
597,-1,-1,1,1,0
598,-1,-1,
