éûä‘,HMDxç¿ïW,HMDyç¿ïW,HMDzç¿ïW
2.326847,-0.05429736,1.370807,0.6063563
2.339158,-0.05438799,1.370804,0.6062604
2.349135,-0.05445221,1.370823,0.6062471
2.359962,-0.05453387,1.370835,0.606259
2.372561,-0.05463681,1.370836,0.6061984
2.38277,-0.05471492,1.370837,0.6061755
2.393554,-0.05482298,1.370822,0.60614
2.406274,-0.05489177,1.37083,0.6061503
2.415933,-0.05496132,1.370843,0.6061102
2.427693,-0.05500475,1.370864,0.6060625
2.439004,-0.05504575,1.370866,0.6060418
2.449623,-0.05508417,1.370911,0.6060141
2.460318,-0.05511981,1.370913,0.606047
2.472618,-0.05518761,1.370932,0.6060361
2.482466,-0.05520561,1.370957,0.606022
2.494279,-0.05521464,1.370956,0.6060022
2.505572,-0.05523777,1.370968,0.6060616
2.516048,-0.05524033,1.370937,0.6060401
2.528177,-0.05525017,1.370946,0.6060146
2.538543,-0.05529577,1.370945,0.6060077
2.549436,-0.05531809,1.370934,0.6060003
2.560731,-0.05531913,1.370904,0.6060103
2.572008,-0.05531913,1.370875,0.6060129
2.582094,-0.05530059,1.370834,0.6059538
2.594262,-0.05527273,1.370792,0.6059443
2.606052,-0.05522874,1.370752,0.6058909
2.615669,-0.0551385,1.370711,0.6058532
2.627389,-0.05510768,1.3707,0.6058143
2.638472,-0.05504718,1.370707,0.6057938
2.649221,-0.05498993,1.370683,0.6057457
2.660525,-0.05490905,1.37067,0.6057364
2.672447,-0.05482161,1.370676,0.6056925
2.682489,-0.05473587,1.37072,0.6056169
2.694164,-0.05466619,1.370734,0.6055628
2.707086,-0.05459949,1.370749,0.6055096
2.722298,-0.05456439,1.370779,0.6054317
2.734457,-0.05452892,1.370839,0.6053721
2.745335,-0.05446115,1.370878,0.6052927
2.757063,-0.05437738,1.37089,0.6051847
2.768358,-0.05423072,1.370942,0.6051255
2.778047,-0.0541217,1.370983,0.6050948
2.789877,-0.05403194,1.371049,0.6050521
2.800314,-0.05396384,1.371084,0.6050125
2.811348,-0.05388868,1.371152,0.6049913
2.823665,-0.05381906,1.371209,0.6049076
2.835653,-0.05380791,1.37128,0.6048585
2.84692,-0.05374995,1.371347,0.6047751
2.859568,-0.0537397,1.371362,0.6046847
2.880439,-0.05369571,1.371382,0.6046439
2.892335,-0.05351403,1.371409,0.6045645
2.903836,-0.05344981,1.371451,0.6045519
2.914554,-0.05339473,1.37146,0.6045331
2.925756,-0.05333936,1.371489,0.6045364
2.937501,-0.05335888,1.371524,0.6045364
2.948627,-0.05331615,1.371501,0.6045455
2.95955,-0.05333123,1.371484,0.604489
2.970654,-0.05331501,1.371492,0.6045042
2.980451,-0.05330583,1.371491,0.6044856
2.990747,-0.05323008,1.371483,0.6044286
3.001831,-0.0531942,1.371464,0.6044117
3.01124,-0.05315381,1.371477,0.6043884
3.023924,-0.05317238,1.371484,0.6043092
3.035176,-0.05318937,1.371469,0.6042844
3.045387,-0.05320591,1.371471,0.6042312
3.057774,-0.05325007,1.371457,0.6041874
3.070482,-0.05328962,1.371444,0.6040889
3.080454,-0.05330816,1.371436,0.6040522
3.091539,-0.05329537,1.371335,0.6040589
3.10369,-0.05333492,1.371301,0.6040381
3.113844,-0.05335936,1.371307,0.6040646
3.124689,-0.05340159,1.371256,0.604055
3.140942,-0.05344668,1.371249,0.6040372
3.151533,-0.05348977,1.371225,0.6040169
