time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blink
0,-0.2068933,-0.01993787,0.002456784,0.06837201,-1,-1,0.08315672,0.1103918,1
2,-0.1993092,0.2212396,-0.2454215,0.2992426,2.758957,2.914795,1,1,0
3,-0.07971418,0.1982042,-0.1123096,0.2751932,3.777252,4.197021,1,1,0
4,-0.1384317,0.2235318,-0.168604,0.2917485,-1,-1,0.5450242,0.5435426,2
5,-0.144408,0.2008563,-0.1689829,0.2793447,3.71933,4.198608,0.8756751,0.754072,0
6,0,0,-0.1120104,0.2064627,-1,-1,0.1391027,0.3521725,0
7,-0.08651906,0.1551306,-0.1145381,0.2278762,4.153442,4.532547,1,1,0
8,-0.129986,0.1518124,-0.1575775,0.2264261,4.43248,4.809784,0.8759626,0.8083275,1
9,-0.1998602,0.1892975,-0.239447,0.2647476,4.432877,4.889008,1,1,0
10,0.05928659,0.1642017,0.03250337,0.2392336,3.798935,3.935547,1,1,0
11,-0.03422332,0.1496037,-0.06977838,0.1835204,4.09024,3.778061,0.6365897,0.4305351,0
12,-0.06576616,0.1921967,-0.1107079,0.271625,4.077805,4.661682,1,1,0
13,0.07675183,0.173279,0.04142642,0.2596824,4.477905,4.965378,1,1,0
14,-0.3232743,0.2680288,-0.3741809,0.3542859,3.754059,4.095825,1,1,0
15,-0.3362129,0.1427124,-0.3786153,0.2216519,4.427856,4.574371,1,1,0
16,-0.1717531,0.1577826,-0.1965947,0.2531509,4.513199,5.014816,1,1,0
17,-0.2336192,0.1406443,-0.2536848,0.2203694,4.562851,4.838684,0.7847462,0.7170191,1
18,0.1029265,0.2265154,0.05495489,0.3163686,4.554092,4.873413,1,1,0
19,0.03155172,0.2141753,0.003863335,0.2975521,3.609772,4.016739,1,1,0
20,-0.1466376,0.1951338,-0.175401,0.2735804,3.769958,4.185562,1,1,0
21,-0.07215863,0.1585239,-0.08903867,0.2248844,3.812469,3.979568,0.766239,0.5679454,0
22,-0.2951372,0.1550168,-0.3140476,0.2286909,3.856094,4.159134,0.8133687,0.7173411,0
23,-0.2292006,0.1625009,-0.2603773,0.2412309,4.02298,4.430267,1,1,1
24,-0.3426819,0.1814938,-0.3727943,0.2731464,4.589386,4.801941,1,1,0
25,-0.160027,0.1412657,-0.1887828,0.2399338,4.512711,4.99794,1,1,0
26,-0.126851,0.1151114,-0.1549487,0.2123572,4.48851,4.961838,0.9476492,0.8850104,0
27,-0.3876187,-0.2833177,-0.05202454,-0.03312802,-1,-1,0.1,0.1,2
28,-0.1709015,0.1608777,-0.2067392,0.2428169,3.681244,4.076767,1,1,0
29,-0.09270555,0.1979427,-0.1413078,0.2897069,4.559631,5.084946,1,1,0
30,-0.03583848,0.1704689,-0.0645746,0.2488484,4.333359,4.843124,0.8943111,0.8765491,0
31,-0.01420242,0.1471037,-0.04908651,0.2206865,4.724792,5.012436,1,1,0
32,-0.2142197,0.1805213,-0.2393066,0.272928,4.854813,5.156296,1,1,0
33,-0.2342233,0.1858675,-0.2581047,0.2938006,4.690964,4.863983,1,1,1
