time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,PupilSize,LeftBlink,RightBlink
0,0,0,0,0,-1,1,1
2,0,0,0,0,-1,1,1
3,0,0,0,0,-1,1,1
4,0,0,0,0,-1,1,1
5,0,0,0,0,-1,1,1
6,0.2158537,0.04818404,0.3613766,-0.03704512,4.508224,1,1
7,-0.2592198,0.07676756,-0.204468,-0.0667119,4.034058,0.8736441,0.6830859
8,-0.04909116,0.06011319,0.02333403,-0.05389118,3.917694,1,1
9,-0.08133817,0.08497316,0.03993261,-0.008580685,3.334045,1,1
10,-0.03692245,0.08761489,0.09467697,-0.01988292,3.322327,0.9153352,0.8749302
11,-0.08085626,0.0606842,0.03607595,-0.04946566,2.863968,1,1
12,-0.128604,-0.2183002,-0.0999518,-0.3516793,3.263092,0.8470777,0.7525616
13,-0.1659161,0.1570544,-0.04687822,-0.1580271,-1,0.6904266,0.6083835
14,-0.1025096,0.04201621,-0.009226203,-0.06282997,3.039383,1,1
15,-0.1393585,0.03127122,-0.08185339,-0.08833385,3.759186,1,1
16,0.01882291,0.02912873,0.1009951,-0.09732878,3.977402,1,1
17,-0.02185637,0.07564664,0.1295073,-0.03294957,2.857712,0.9023449,0.7203842
18,0.1221175,0.04050034,0.2343198,
