time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,PupilSize,LeftBlink,RightBlink
0.3533334,0,0,0,0,-1,1,1
0.4620799,0,0,0,0,-1,1,1
0.5753651,0,0,0,0,-1,1,1
0.6790715,0,0,0,0,-1,1,1
0.7879825,0,0,0,0,-1,1,1
0.8907402,0,0,0,0,-1,1,1
0.9934313,0,0,0,0,-1,1,1
1.095818,0,0,0,0,-1,1,1
1.199927,0,0,0,0,-1,1,1
1.300551,0,0,0,0,-1,1,1
1.401153,0,0,0,0,-1,1,1
1.501231,0,0,0,0,-1,1,1
1.602333,0,0,0,0,-1,1,1
1.704609,0,0,0,0,-1,1,1
1.82053,0,0,0,0,-1,1,1
1.92076,0,0,0,0,-1,1,1
2.023704,0,0,0,0,-1,1,1
2.1383,0,0,0,0,-1,1,1
2.241481,0,0,0,0,-1,1,1
2.352523,0,0,0,0,-1,1,1
2.467365,0,0,0,0,-1,1,1
2.584659,0,0,0,0,-1,1,1
2.686863,0,0,0,0,-1,1,1
2.802196,0,0,0,0,-1,1,1
2.90382,0,0,0,0,-1,1,1
3.017805,0,0,0,0,-1,1,1
3.136067,0,0,0,0,-1,1,1
3.253798,0,0,0,0,-1,1,1
3.356202,0,0,0,0,-1,1,1
3.457342,0,0,0,0,-1,1,1
3.558928,0,0,0,0,-1,1,1
3.661445,0,0,0,0,-1,1,1
3.763343,0,0,0,0,-1,1,1
3.864745,0,0,0,0,-1,1,1
3.966226,0,0,0,0,-1,1,1
4.080541,0,0,0,0,-1,1,1
4.195317,0,0,0,0,-1,1,1
4.296093,0,0,0,0,-1,1,1
4.405252,0,0,0,0,-1,1,1
4.506499,0,0,0,0,-1,1,1
4.60704,0,0,0,0,-1,1,1
4.711399,0,0,0,0,-1,1,1
4.811487,0,0,0,0,-1,1,1
4.913162,0,0,0,0,-1,1,1
5.013577,0,0,0,0,-1,1,1
5.114377,0,0,0,0,-1,1,1
5.229047,0,0,0,0,-1,1,1
5.34392,0,0,0,0,-1,1,1
5.449212,0,0,0,0,-1,1,1
5.551091,0,0,0,0,-1,1,1
5.669264,0,0,0,0,-1,1,1
5.784823,0,0,0,0,-1,1,1
5.901711,0,0,0,0,-1,1,1
6.017355,0,0,0,0,-1,1,1
6.134048,0,0,0,0,-1,1,1
6.23533,0,0,0,0,-1,1,1
6.350115,0,0,0,0,-1,1,1
6.450833,0,0,0,0,-1,1,1
6.568607,0,0,0,0,-1,1,1
6.671634,0,0,0,0,-1,1,1
6.788483,0,0,0,0,-1,1,1
6.890715,0,0,0,0,-1,1,1
7.006956,0,0,0,0,-1,1,1
7.109855,0,0,0,0,-1,1,1
7.210615,0,0,0,0,-1,1,1
7.315517,0,0,0,0,-1,1,1
7.417418,0,0,0,0,-1,1,1
7.53112,0,0,0,0,-1,1,1
7.634027,0,0,0,0,-1,1,1
7.749608,0,0,0,0,-1,1,1
7.851565,0,0,0,0,-1,1,1
7.965394,0,0,0,0,-1,1,1
8.073669,0,0,0,0,-1,1,1
8.187975,0,0,0,0,-1,1,1
8.288468,0,0,0,0,-1,1,1
8.404064,0,0,0,0,-1,1,1
8.504259,0,0,0,0,-1,1,1
8.605157,0,0,0,0,-1,1,1
8.709876,0,0,0,0,-1,1,1
8.812632,0,0,0,0,-1,1,1
8.913082,0,0,0,0,-1,1,1
9.028975,0,0,0,0,-1,1,1
9.134724,0,0,0,0,-1,1,1
9.236353,0,0,0,0,-1,1,1
9.336567,0,0,0,0,-1,1,1
9.450541,0,0,0,0,-1,1,1
9.567247,0,0,0,0,-1,1,1
9.68354,0,0,0,0,-1,1,1
9.783561,0,0,0,0,-1,1,1
9.886533,0,0,0,0,-1,1,1
9.991885,0,0,0,0,-1,1,1
10.09491,0,0,0,0,-1,1,1
10.21118,0,0,0,0,-1,1,1
10.32638,0,0,0,0,-1,1,1
10.43169,0,0,0,0,-1,1,1
10.5325,0,0,0,0,-1,1,1
10.63562,0,0,0,0,-1,1,1
10.75026,0,0,0,0,-1,1,1
10.85785,0,0,0,0,-1,1,1
10.97029,0,0,0,0,-1,1,1
11.08535,0,0,0,0,-1,1,1
11.1856,0,0,0,0,-1,1,1
11.28649,0,0,0,0,-1,1,1
11.40278,0,0,0,0,-1,1,1
11.50362,0,0,0,0,-1,1,1
11.61948,0,0,0,0,-1,1,1
11.72208,0,0,0,0,-1,1,1
11.82424,0,0,0,0,-1,1,1
11.93683,0,0,0,0,-1,1,1
12.03973,0,0,0,0,-1,1,1
12.14186,0,0,0,0,-1,1,1
12.24396,0,0,0,0,-1,1,1
12.35119,0,0,0,0,-1,1,1
12.45292,0,0,0,0,-1,1,1
12.55336,0,0,0,0,-1,1,1
12.65594,0,0,0,0,-1,1,1
12.76423,0,0,0,0,-1,1,1
12.86749,0,0,0,0,-1,1,1
12.98372,0,0,0,0,-1,1,1
13.09912,0,0,0,0,-1,1,1
13.20309,0,0,0,0,-1,1,1
13.31905,0,0,0,0,-1,1,1
13.42461,0,0,0,0,-1,1,1
13.52859,0,0,0,0,-1,1,1
13.62869,0,0,0,0,-1,1,1
13.7287,0,0,0,0,-1,1,1
