time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blinktiming
0.3533334,-0.04517961,0.206685,0.02263021,0.009948492,5.117233,4.837906,1,1,blinked
0.4552485,0.05493224,0.2052239,0.0861237,0.005261064,5.343063,5.105469,1,1,null
0.5651782,0.0552032,0.2028392,0.08540225,0.005140543,5.352325,5.080444,1,1,null
0.7291285,0.08534324,0.1559263,0.1255052,-0.04048443,4.836426,4.682999,1,1,null
0.841947,0.09728074,0.1057671,0.127336,-0.09334397,4.662613,4.547806,1,1,null
0.942183,0.09143209,0.1025522,0.1354407,-0.09791553,4.735184,4.605896,1,1,null
1.053635,0.08921909,0.1044216,0.1372766,-0.09823406,4.769913,4.618134,1,1,null
1.16961,0.08707309,0.1083775,0.1364001,-0.09454584,4.884979,4.745895,1,1,null
1.285751,0.08742797,0.1120935,0.1376598,-0.09107363,4.951874,4.797226,1,1,null
1.399289,0.1110929,0.09832412,0.1522903,-0.09962964,4.940765,4.778717,1,1,null
1.520146,0.1155872,0.1868256,0.1540219,-0.01424205,4.972,4.808319,0.9785228,0.987499,null
1.624421,0.1099346,0.1853563,0.1560248,-0.01418209,5.021454,4.777527,0.985083,0.9862553,null
1.743904,0.1075034,0.1847775,0.1597505,-0.01251888,4.982285,4.767136,1,1,null
1.845603,0.1126393,0.1865299,0.1635809,-0.01145899,4.990311,4.74263,0.9975121,0.997283,null
1.95308,0.05920994,0.1854411,0.08630657,-0.01275539,4.928314,4.824829,0.9821811,0.9748366,null
2.066056,0.06124353,0.1834837,0.08937955,-0.01461589,4.978043,4.883606,0.9745948,0.9656631,null
2.17799,0.06709385,0.1811287,0.09780276,-0.01433599,5.125244,4.948318,0.9782316,0.9726806,null
2.292121,0.06591415,0.1841052,0.09731567,-0.01064157,5.288589,5.090027,0.972185,0.9453613,null
2.40524,0.09202135,0.1821864,0.1211132,-0.01610672,5.527634,5.105865,0.948877,0.9592477,null
2.519424,0.0823493,0.1819797,0.1242982,-0.01799548,5.577423,5.252365,0.9545922,0.9588058,null
2.633059,0.07244003,0.1793221,0.1296867,-0.01874757,5.657227,5.382172,0.9422562,0.9540465,null
2.749499,0.06757498,0.175711,0.1309631,-0.02222157,5.6064,5.447754,0.921829,0.9582503,null
2.866679,0.07006788,0.1762447,0.131622,-0.02298963,5.44371,5.333527,0.9064635,0.9581019,null
2.98348,0.07177806,0.1744109,0.1328454,-0.02411425,5.353271,5.255829,0.9049539,0.9553409,null
3.097451,0.0746063,0.1715169,0.1343066,-0.03018832,5.333221,5.249542,0.8720407,0.9514186,null
3.210577,0.07576239,0.1613212,0.1376619,-0.0408988,5.394135,5.266464,0.8735792,0.9464921,null
3.326504,0.08535755,0.1770256,0.1371807,-0.03034651,5.669724,5.358948,0.8580207,0.929467,null
3.439101,0.08482802,0.1852634,0.1374931,-0.02417958,5.671036,5.432358,0.8529403,0.8740346,null
3.553395,0.09866977,0.2117088,0.1440306,0.008952498,5.677811,5.340118,0.8453944,0.8274828,null
3.66806,0.09471118,0.1999363,0.1501229,-0.01906466,5.601761,5.359543,0.8691621,0.8327719,null
3.783762,0.1077669,0.1891357,0.1564178,-0.0223459,5.463089,5.32016,0.8619224,0.8331041,null
3.896843,0.1070522,0.1790279,0.1589694,-0.04575682,5.453308,5.223785,0.8718963,0.8388605,null
4.013525,0.1068282,0.1536152,0.1595662,-0.06288433,5.316025,5.080063,0.8805687,0.8507969,null
4.128499,0.1021565,0.1423941,0.1510764,-0.06964457,5.254929,4.997086,0.8832464,0.8387245,null
4.243379,0.1526551,-0.003163338,0.1812271,-0.2155389,5.320267,5.083069,0.8055426,0.8800563,null
4.354776,0.1441376,-0.001984358,0.1809131,-0.2162491,5.32782,5.161194,0.8010607,0.8596275,null
4.468975,0.136057,0.0008895397,0.1810416,-0.2175053,5.38353,5.292114,0.793304,0.857675,null
4.588799,0.1268604,0.003511786,0.1745949,-0.2145501,5.572113,5.425049,0.7998352,0.8527442,null
4.701775,0.1195658,0.003437042,0.1695219,-0.2154483,5.760086,5.570038,0.8082907,0.8663691,null
4.817879,0.1352921,0.06333625,0.1720855,-0.1500001,5.796021,5.534561,0.829811,0.8632894,null
4.933689,0.1322235,0.06274217,0.1746213,-0.1510814,5.819885,5.653275,0.865598,0.9022371,null
5.050237,0.1336826,0.0591774,0.1787779,-0.1541835,5.799423,5.611465,0.8749199,0.9041587,null
5.162507,0.1316786,0.05471861,0.178085,-0.1572043,5.812805,5.593857,0.8815516,0.9165173,null
5.279041,0.1302761,0.1007599,0.1707038,-0.1089406,5.826904,5.529541,0.8803696,0.8880261,null
5.389794,0.1264895,0.09988755,0.1684631,-0.1102234,5.827621,5.534088,0.8967608,0.881031,null
5.498099,0.1159585,0.09974653,0.1646814,-0.1094828,5.799316,5.515625,0.8990955,0.9285665,null
5.613334,0.1155361,0.09995562,0.1657254,-0.1096764,5.80484,5.552032,0.9024468,0.9352326,null
5.728076,0.1202781,0.100008,0.173067,-0.109428,5.801453,5.565826,0.9132284,0.9531159,null
5.843097,0.1275454,0.1009679,0.179695,-0.1070688,5.866547,5.583725,0.9181653,0.9580288,null
5.95545,0.1343465,0.0968762,0.1851269,-0.1121866,5.947693,5.614151,0.940212,0.9863652,null
6.072146,0.1992061,0.09774137,0.2476134,-0.1130468,5.824371,5.531921,0.9432139,0.9520814,null
6.186737,0.1543597,0.1008503,0.2080426,-0.1120549,5.812057,5.416092,0.9380609,0.9978889,null
6.305944,0.2131736,0.09049088,0.2637155,-0.129068,6.045151,5.701157,0.920557,0.9687088,null
6.419757,0.2797732,0.08232909,0.321901,-0.1374888,5.976425,5.579239,0.9268956,0.9518992,null
6.531375,0.1678559,0.08729559,0.2176709,-0.1222705,5.841187,5.678802,1,1,null
6.644333,0.2551345,0.09426636,0.2821466,-0.1224985,6.10199,5.766251,0.9403238,0.9801499,null
6.753798,0.1614363,0.1003276,0.1979744,-0.1153485,6.07486,5.671539,1,1,null
6.867943,0.02167773,0.09205699,0.03705704,-0.1215805,5.995605,5.612701,0.9305953,0.9939827,null
6.980843,0.0065732,0.0819478,0.04878342,-0.1266608,5.866501,5.629135,0.9526949,0.960253,null
7.095237,0.02505243,0.07612914,0.07069039,-0.1280538,5.997925,5.716354,0.9502717,0.9802315,null
7.205056,0.05143809,0.06891668,0.1052165,-0.1390176,6.093048,5.748901,0.956138,0.9740728,null
7.320136,0.2055129,0.08291459,0.2554672,-0.1281165,6.238541,5.962677,1,1,null
7.430825,0.1970016,0.0809868,0.2495301,-0.1341666,6.190414,5.929306,1,1,null
7.543817,0.1819633,0.07810271,0.2381921,-0.1382968,6.016174,5.850891,1,1,null
7.676654,0.1908466,0.07638991,0.253058,-0.1366394,5.841415,5.627136,1,1,null
7.798427,0.2972397,0.08517843,0.3391244,-0.1259079,6.022202,5.729263,0.9669153,0.9708093,null
7.909381,0.3116031,0.0934732,0.365113,-0.1230181,6.057144,5.75708,0.959533,0.9718396,null
8.02903,0.3115494,0.09241277,0.3690634,-0.1250581,5.904694,5.687469,0.9781937,0.9829779,null
8.146249,0.3127701,0.08873397,0.3722082,-0.1282525,5.587738,5.415497,0.9832855,0.9947419,null
8.257455,0.3147987,0.08450949,0.3751358,-0.1306958,5.326355,5.181015,0.9865694,0.9946425,null
8.365966,0.370363,0.08578551,0.4256599,-0.1340445,5.305878,5.273453,0.9609463,0.9499215,null
8.48097,0.3441626,0.08790755,0.4013815,-0.1302702,5.401886,5.149582,0.9732808,0.9759958,null
8.598026,0.3110389,0.09167808,0.3731263,-0.1248333,5.419495,5.319397,1,1,null
8.711963,0.3000661,0.1315571,0.3650795,-0.0857619,-1,-1,0.6853875,0.7765203,null
8.819935,0.2611873,0.1319293,0.3269864,-0.08119059,5.468582,5.197723,0.9527692,0.9847702,null
8.935716,0.2275931,0.1254215,0.2918085,-0.07898009,5.464554,5.252747,1,1,null
9.047328,0.2247601,0.1466898,0.2819629,-0.04838526,5.333252,5.216721,1,1,null
9.163007,0.2247262,0.1654079,0.2761348,-0.02969396,5.512741,5.217926,1,1,null
9.278062,0.184792,0.1643366,0.244253,-0.0294472,5.284851,5.135834,1,1,null
9.395217,0.1553351,0.1684418,0.2162764,-0.02543092,5.264191,4.98262,1,1,null
9.509765,0.1355371,0.1512586,0.1985639,-0.04177654,5.200546,5.073914,1,1,null
9.623125,0.1484131,0.07699507,0.184024,-0.1122832,5.235138,4.989899,1,1,null
9.745139,0.1398966,0.08230972,0.1867268,-0.1164654,5.303116,5.037704,1,1,null
9.855709,0.1338844,0.1582375,0.1836348,-0.03881741,5.342163,5.116257,1,1,null
9.967584,0.1258947,0.1567857,0.185289,-0.03896618,5.422943,5.185165,1,1,null
10.08006,0.1316756,0.1972022,0.1861722,0.001482606,5.566116,5.217621,1,1,null
10.1971,0.174005,0.358744,0.1886804,0.1648389,5.697968,5.233032,1,1,null
10.30827,0.1282898,0.3130466,0.1777538,0.1264763,5.444748,4.980743,1,1,null
10.42218,0.123275,0.3366585,0.1658269,0.1544144,5.10022,4.715897,1,1,null
10.53262,0.1170195,0.3316779,0.16396,0.1465158,5.070709,4.648788,1,1,null
10.64476,0.1118706,0.324182,0.1638272,0.1394926,4.77446,4.484406,1,1,null
10.75642,0.0928427,0.2357704,0.1103566,0.05796289,4.455872,4.216995,1,1,null
10.87063,0.08286381,0.2127928,0.1195688,0.03507233,4.413452,4.172531,1,1,null
10.9845,0.08392346,0.2142302,0.134316,0.03221434,4.522171,4.305954,1,1,null
11.09261,0.06903124,0.1870462,0.1157523,0.005072236,4.814575,4.498779,1,1,null
11.20431,0.08562231,0.1114932,0.1163046,-0.07387638,4.95665,4.762909,1,1,null
11.31267,0.07917464,0.111347,0.1189454,-0.0747503,5.084579,4.813187,1,1,null
11.43147,0.07623005,0.1118363,0.1275907,-0.0759027,5.213211,5.055023,1,1,null
11.54224,0.07560039,0.1131827,0.1307417,-0.07552075,5.325729,5.113632,1,1,null
11.65668,0.08314896,0.05357271,0.1167461,-0.1363072,5.440689,5.144043,1,1,null
11.76948,0.07473111,0.05489427,0.1185778,-0.1356317,5.365479,5.148087,1,1,null
11.88409,0.07133269,0.0544765,0.1207664,-0.1357081,5.357834,5.161667,1,1,null
11.99809,0.07900774,0.05332595,0.1293696,-0.1359653,5.407669,5.236755,1,1,null
12.11466,0.08185232,0.05313182,0.1329701,-0.1353333,5.465927,5.271835,1,1,null
12.22622,0.08811128,0.04948044,0.1402423,-0.1391031,5.5112,5.240814,1,1,null
12.33636,-0.05881971,0.06410235,-0.02971786,-0.1270839,5.378632,5.29509,0.9766354,0.9109482,null
12.44852,-0.1129828,0.08361894,-0.08336228,-0.1022024,5.427704,5.357986,0.9473407,0.9140325,null
12.55921,-0.120257,0.09849542,-0.08361053,-0.08309269,5.345215,5.36882,0.9679364,0.9220527,null
12.67043,-0.05461562,0.1082966,-0.0070889,-0.07990575,5.235443,5.020248,1,1,null
12.7807,-0.03169966,0.1134142,0.009614468,-0.07669222,5.120438,4.921921,1,1,null
12.8916,0.0384028,0.1087276,0.07804835,-0.0802598,5.263092,4.901138,1,1,null
13.00078,-0.02899051,0.1133546,0.007276058,-0.07677686,5.358536,5.082291,0.9928793,0.9505016,null
13.11918,0.00554812,0.1153834,0.05035627,-0.07170343,5.423431,5.109772,0.9791679,0.9684393,null
13.23185,-0.03164923,0.117759,0.0142535,-0.06560051,5.56665,5.222885,0.9954834,0.9537661,null
13.34902,-0.003319502,0.116615,0.0459981,-0.06907749,5.503006,5.320221,0.9760645,0.9697652,null
13.46014,0.02869213,0.1127068,0.07859623,-0.07513964,5.591187,5.490799,0.9830976,0.9741962,null
13.57398,0.0550108,0.1182129,0.1077946,-0.06970179,5.698914,5.548645,0.9761001,0.9902024,null
13.68767,0.07168949,0.126048,0.1209357,-0.0633049,5.742294,5.578339,0.9731729,0.9914515,null
13.79717,0.08080447,0.1151292,0.1330509,-0.07117963,5.737778,5.589539,0.9530976,0.9972558,null
13.91083,0.0753746,0.1111959,0.1277465,-0.0716424,5.749786,5.610474,0.9712421,0.9921268,null
14.02541,0.06019723,0.1162804,0.1137391,-0.06902432,5.826874,5.682632,0.9632029,0.9814703,null
14.14081,-0.09309494,0.09770912,-0.05528694,-0.08009338,5.916489,5.730743,0.9482806,0.9223189,null
14.25172,-0.1759647,0.03982657,-0.1535221,-0.123242,5.751282,5.714508,0.8850195,0.8471182,null
14.36575,-0.1100364,0.06947154,-0.07940066,-0.1009294,5.62355,5.523712,0.9287606,0.9275888,null
14.4813,-0.06344819,0.07581937,-0.03163451,-0.1024631,5.365036,5.320847,0.946443,0.9388687,null
14.59418,-0.02354813,0.06406701,0.003193259,-0.1146288,5.262863,5.034485,0.9465246,0.938673,null
14.70815,0.01726687,0.09328902,0.05377042,-0.09026527,5.069305,5.002609,0.9201003,0.9662844,null
14.82723,0.03177404,0.09750611,0.06387937,-0.08845174,5.150909,4.950546,0.9027904,0.9707134,null
14.93874,0.06387818,0.07770079,0.09323704,-0.1034786,5.186142,4.957397,0.8870598,0.9725696,null
