ïbêî,ç∂ìµçEåa,âEìµçEåa,ç∂ñ⁄ÇÃäJÇ´ãÔçá,âEñ⁄ÇÃäJÇ´ãÔçá,1ïbìñÇΩÇËÇÃèuÇ´âÒêî
186,-1,-1,1,1,0
187,-1,-1,1,1,0
188,-1,-1,1,1,0
189,-1,-1,1,1,0
190,-1,-1,1,1,0
191,-1,-1,1,1,0
192,-1,-1,1,1,0
193,-1,-1,1,1,0
194,-1,-1,1,1,0
195,-1,-1,1,1,0
196,-1,-1,1,1,0
197,-1,-1,1,1,0
198,3.958237,3.856888,1,1,2
198,3.958237,3.856888,1,1,0
199,3.429672,3.070755,1,1,0
200,3.443359,3.330826,1,1,1
201,3.063995,3.078217,1,1,0
201,3.063995,3.078217,1,1,0
202,2.494476,2.534744,1,1,0
202,2.494476,2.534744,1,1,0
203,2.407471,2.385986,1,1,0
204,2.573578,2.46579,1,1,0
205,-1,-1,0,0,2
206,2.948853,2.752258,1,1,0
207,2.490936,2.586502,0.8237737,0.8247131,1
208,-1,-1,0,0,1
209,-1,-1,0,0.04179056,2
210,2.831696,2.600311,0.8702975,0.9342774,2
211,2.722549,2.570099,0.9247057,0.9657832,0
212,2.683578,2.608047,1,1,0
212,2.683578,2.608047,1,1,0
213,2.911255,2.883362,1,1,1
213,2.911255,2.883362,1,1,0
214,3.090378,2.888336,1,1,2
215,-1,-1,0,0,1
216,-1,-1,0,0,2
217,3.030289,2.940781,0.873975,0.8672065,1
218,3.252258,3.129471,1,1,1
219,-1,-1,0,0,
