Blink,time,count
0.3533334,0,1
0.473603,0,1
0.5841094,0,1
0.7178361,0,1
0.8326327,0,1
0.9370002,0,1
1.040494,0,1
1.145798,0,2
1.248272,0,2
1.350806,0,2
1.453509,0,2
1.556362,0,2
1.656633,0,2
1.762084,0,2
1.865961,0,2
1.968906,0,2
2.078166,0,2
2.18452,0,3
2.291531,0,3
2.397536,0,3
2.502101,0,3
2.605628,0,3
2.707809,0,3
2.81567,0,3
2.917949,0,3
3.038712,0,3
3.140007,0,4
3.242416,0,4
3.344663,0,4
3.446506,0,4
3.548569,0,4
3.667172,0,4
3.770065,1,4
3.877532,1,4
3.979619,1,4
4.079822,1,4
4.183008,1,5
4.284482,1,5
4.387592,1,5
4.494057,1,5
4.59673,1,5
4.704001,1,5
4.805564,2,5
4.909798,2,5
5.015278,2,5
5.122864,2,6
5.236175,2,6
5.356122,3,6
5.463367,3,6
5.574724,3,6
5.676026,3,6
5.779658,3,6
5.886233,3,6
5.993831,4,6
6.104416,4,6
6.208963,4,7
6.309803,5,7
6.414538,5,7
6.52235,5,7
6.631429,5,7
6.734233,5,7
6.837154,5,7
6.940038,5,7
7.040805,5,7
7.145961,6,8
7.249329,6,8
7.352286,6,8
7.461449,6,8
7.568281,7,8
7.671529,7,8
7.777491,7,8
7.883635,7,8
7.990331,7,8
8.099177,8,8
8.204762,8,9
8.316162,8,9
8.421093,8,9
8.525183,8,9
8.627635,8,9
8.735298,8,9
8.837882,8,9
8.945378,8,9
9.051814,8,9
9.157147,8,10
9.259669,9,10
9.367306,9,10
9.471161,9,10
9.57564,9,10
9.686541,9,10
9.796721,9,10
9.903825,9,10
10.01731,9,10
10.12122,10,11
10.22332,10,11
10.32875,10,11
10.42935,10,11
10.53191,11,11
10.63383,11,11
10.74711,11,11
10.8504,12,11
10.95363,12,11
11.06083,12,11
11.16558,12,12
11.27395,12,12
11.38114,12,12
11.48754,12,12
11.59037,13,12
11.69322,13,12
11.79842,13,12
11.90096,13,12
12.00596,13,12
12.11383,13,13
12.22443,13,13
12.33065,13,13
12.4467,13,13
12.56322,13,13
12.679,13,13
12.77938,14,13
12.87989,14,13
12.98974,15,13
13.09743,15,13
13.1995,15,14
13.32026,15,14
13.42127,15,14
13.52342,16,14
13.6271,16,14
13.7457,17,14
13.85317,17,14
13.95614,18,14
14.06086,18,14
14.16854,18,15
14.2704,18,15
14.37264,18,15
14.47856,18,15
14.59866,19,15
14.71661,19,15
14.81909,19,15
14.93964,20,15
15.04173,20,15
15.14674,20,16
15.25197,20,16
15.35671,20,16
15.46019,20,16
15.5694,20,16
15.67943,20,16
15.78193,20,16
15.88865,21,16
15.9902,21,16
16.0976,21,16
16.20238,21,17
16.31503,21,17
16.42118,21,17
16.53001,21,17
16.63341,21,17
16.74367,21,17
16.8493,21,17
16.95828,21,17
17.06605,22,17
17.1715,22,18
17.29117,22,18
17.39463,22,18
17.49758,22,18
17.60625,22,18
17.7117,22,18
17.82027,22,18
17.92772,22,18
18.02959,22,18
18.13132,23,19
18.2367,23,19
18.34427,23,19
18.4536,23,19
18.56338,24,19
18.67038,24,19
18.77244,25,19
18.8735,25,19
18.9778,25,19
19.08726,25,19
19.19433,25,20
19.30138,25,20
19.40653,25,20
19.52751,25,20
19.63008,25,20
19.7461,25,20
19.84905,25,20
19.95145,25,20
20.06658,25,20
20.18266,25,21
20.30011,25,21
20.41924,25,21
20.53615,25,21
20.647,25,21
20.74968,25,21
20.86316,25,21
20.97986,25,21
21.09623,25,21
21.21191,25,22
21.33031,25,22
21.44952,25,22
21.56611,25,22
21.68486,25,22
21.78659,25,22
21.90559,25,22
22.00578,25,22
22
