time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink
0.3533334,0,0,0,0,-1,-1,1,1
0.4712932,0,0,0,0,-1,-1,1,1
0.5799655,0,0,0,0,-1,-1,1,1
0.7133709,0,0,0,0,-1,-1,1,1
0.8221611,0,0,0,0,-1,-1,1,1
0.9416776,0,0,0,0,-1,-1,1,1
1.060366,0,0,0,0,-1,-1,1,1
1.160782,0,0,0,0,-1,-1,1,1
1.279306,0,0,0,0,-1,-1,1,1
1.394333,0,0,0,0,-1,-1,1,1
1.50373,0,0,0,0,-1,-1,1,1
1.615148,0,0,0,0,-1,-1,1,1
1.730858,0,0,0,0,-1,-1,1,1
1.849839,0,0,0,0,-1,-1,1,1
1.964529,0,0,0,0,-1,-1,1,1
2.076836,0,0,0,0,-1,-1,1,1
2.180738,-0.1516094,-0.4672179,0.07507551,-0.3778981,4.282333,4.342865,0,0
2.280976,-0.2372147,-0.4956857,-0.01193804,-0.3282132,4.7276,4.198532,0,0
2.39582,0.3136449,-0.6244699,0,0,3.847275,-1,0,0
2.512268,-0.1363223,-0.2311596,0,0,2.646667,-1,0,0
2.628876,0,0,0,0,-1,-1,0.1927319,0.4922213
2.743032,-0.1907619,-0.4004822,-0.06720597,-0.2860354,4.429688,-1,0.2311057,0.03762331
2.843818,-0.1794441,-0.2691556,-0.05894005,-0.2295043,4.704559,4.671371,0.7205656,0.6718503
2.961492,-0.2437416,-0.4394984,-0.1255093,-0.445833,4.762009,5.312225,0.4193236,0.2919495
3.077907,-0.2560167,-0.29935,-0.1066698,-0.2336462,4.591187,3.449356,0.3307465,0.250434
3.179083,-0.228265,-0.2419384,-0.09571546,-0.1532928,5.201401,2.179443,0.8101816,0.9296036
3.280576,-0.2668949,-0.2334981,-0.1187647,-0.1457504,4.998138,2.417267,0.8983618,0.7937055
3.395574,0,0,0,0,-1,-1,0,0.3344767
3.51299,0,0,-0.08456922,0.8658062,-1,-1,0.05495565,0.505015
3.61437,-0.5438857,-0.7498279,0,0,-1,-1,0,0.007968455
3.730873,0,0,0,0,-1,-1,0.3735039,0
3.840082,-0.5557634,-0.3195566,-0.5351672,-0.3934186,-1,-1,0.4769672,0
3.958719,-0.4766564,-0.1309988,-0.3994663,-0.1955038,5.21524,3.580933,0.683547,0.3005103
4.059753,-0.3275644,-0.4664906,-0.3114502,-0.4214386,4.997787,4.060715,0.5114859,0.008374755
4.174721,-0.346195,-0.4712694,-0.3137329,-0.4034467,5.239044,3.899841,0.4642888,0.1
4.275797,-0.3640456,-0.4803445,-0.3313509,-0.4337939,5.576035,4.204208,0.4628642,0.1
4.394794,-0.4019427,-0.5438467,0,0,5.751953,-1,0.3282188,0.1
4.495041,-0.3770212,-0.5138211,0,0,5.298004,-1,0.3127308,0.1
4.610497,-0.4622632,-0.5627211,-0.4238121,-0.3546942,5.118561,-1,0.4081483,0.1
4.710836,-0.4863883,-0.598466,0,0,-1,4.357254,0.3998806,0.1
4.811195,-0.4947351,-0.5960295,-0.4802525,-0.4092202,4.626495,4.296814,0.3599707,0.1
4.929639,-0.5034842,-0.625417,-0.4882953,-0.4225912,4.689163,-1,0.4026566,0.1
5.043883,-0.4687291,-0.6530985,0,0,-1,-1,0.1070727,0.1
5.159781,-0.4564244,-0.665415,-0.1126143,0.8272111,-1,-1,0.1373786,0.3493277
5.273467,0.07841659,0.8390457,-0.1275901,0.7630695,-1,-1,0.0401573,0.135333
5.386154,-0.1426501,-0.05371106,-0.02055204,-0.3037738,4.019501,3.673233,0.4264979,0
5.506758,-0.4692302,-0.6123748,-0.1194873,0.8093113,-1,-1,0.04511365,0.2608045
5.626204,-0.2679669,-0.05288219,-0.1161661,-0.08300877,4.033569,3.751251,0.6198412,0.2083582
5.731296,-0.3431849,-0.07349551,-0.244527,-0.2841107,4.570541,3.695908,0.5136432,0.1729822
5.850029,-0.3488698,-0.0608865,0,0,4.435684,-1,0.06069822,0
5.953386,-0.3646944,-0.09985828,-0.2315448,-0.1033934,4.261169,4.477951,0.6859664,0.3002308
6.055375,-0.5271672,-0.7453471,0,0,-1,-1,0.057815,0
6.170764,0,0,-0.1000162,0.8359088,-1,-1,0.03619625,0.2258762
6.288094,0,0,-0.1220595,0.8257656,-1,-1,0.04419938,0.09166859
6.406246,0,0,-0.1251318,0.8430836,-1,-1,0.06947989,0.01898405
6.522011,-0.443485,-0.6948885,-0.1105775,0.866048,-1,-1,0.06892292,0
6.64157,0,0,-0.115245,0.866048,-1,-1,0.04491021,0
6.756027,0,0,0,0,-1,-1,0.04602266,0
6.870157,-0.4080616,-0.6727818,0,0,-1,-1,0.02620781,0
6.989433,-0.4752153,-0.6920192,-0.06813276,0.2645236,-1,-1,0.01098365,0
