time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blinktiming
0.3533334,0.08386004,0.2965298,0.07606196,0.4079797,4.866669,5.120468,1,1,null
0.4682221,0.07767093,0.2886451,0.06129813,0.395638,4.872971,5.019592,1,1,null
0.580322,0.08979762,0.284741,0.06590414,0.3992597,4.805695,5.07518,1,1,null
0.6938586,-0.1638681,0.07238066,-0.2125166,0.1520383,4.38736,4.788071,1,1,null
0.8045864,-0.1750368,0.07349503,-0.2127925,0.1606562,4.149185,4.531754,1,1,null
0.9119049,-0.1486435,0.08261633,-0.1829477,0.1734222,3.962234,4.38649,1,1,null
1.01759,-0.1202218,0.09359312,-0.1539549,0.1811115,4.014145,4.408356,1,1,null
1.122414,-0.2502486,0.09545785,-0.2906935,0.1848276,4.149918,4.551025,1,1,null
1.228644,-0.2407433,0.1069446,-0.28101,0.1928898,4.320938,4.732101,1,1,null
1.334575,-0.2301658,0.1024944,-0.2636684,0.1946632,4.381744,4.815109,1,1,null
1.442618,-0.2245644,0.1095236,-0.255932,0.2040685,4.512299,4.835281,1,1,null
1.548509,-0.2055339,0.104987,-0.2472722,0.2203856,-1,4.945038,0.8483615,0.9396991,null
1.660171,0,0,-0.1825232,0.1743617,-1,-1,0.1684379,0.4308688,null
1.76039,-0.1492738,0.08548063,-0.1716521,0.1828396,4.569412,5.116135,0.7450858,0.6964095,null
1.867536,-0.1470422,0.0963167,-0.1699592,0.1983193,4.631119,5.104172,0.8960583,0.8271187,null
1.983467,-0.2229571,-0.06467116,-0.3081621,0.0180645,-1,-1,0.6290233,0.6274729,null
2.088875,-0.2105728,-0.03483236,-0.2916777,0.04397261,4.904724,-1,0.6554493,0.6241235,null
2.194127,-0.1860525,-0.07989776,-0.3066926,0.003240347,-1,-1,0.6180063,0.5681343,null
2.301847,-0.1717128,-0.04743183,-0.2988472,0.02293336,4.854767,-1,0.6845028,0.6378298,null
2.403052,-0.1714576,-0.05108583,-0.2959714,0.03519899,-1,-1,0.7146578,0.6527497,null
2.505929,-0.1802681,-0.0627147,-0.3136867,0.0194931,-1,-1,0.7070404,0.6596701,null
2.60841,-0.1805635,-0.06468141,-0.3151096,0.01793844,4.400528,-1,0.7293589,0.6740175,null
2.713141,-0.185946,-0.06569684,-0.3214461,0.01556855,4.321289,-1,0.7393327,0.6791925,null
2.815627,-0.1887653,-0.06654167,-0.3228647,0.01089251,-1,-1,0.7524003,0.6822968,null
2.917015,-0.1935403,-0.06784451,-0.3256026,0.01171219,-1,-1,0.7387697,0.69762,null
3.019151,-0.2024687,-0.08446324,-0.3292479,0.006186247,-1,-1,0.7426477,0.6958849,null
3.123535,-0.1903179,-0.05024993,-0.3103099,0.04974115,4.495361,-1,0.6978914,0.6842626,null
3.224789,-0.06488264,0.1544351,-0.1010382,0.2561013,4.404907,4.341644,0.8828723,0.6505693,null
3.333723,-0.08765489,0.1370262,-0.1123338,0.2449229,4.530396,4.776016,1,1,null
3.440141,-0.09747636,0.1341789,-0.1231638,0.2309872,4.539871,4.905258,1,1,null
3.547142,-0.104551,0.1293949,-0.1267369,0.2334671,4.581039,4.832474,1,1,null
