ïbêî,ç∂ìµçEåa,âEìµçEåa,ç∂ñ⁄ÇÃäJÇ´ãÔçá,âEñ⁄ÇÃäJÇ´ãÔçá,1ïbìñÇΩÇËÇÃèuÇ´âÒêî
447,-1,-1,1,1,0
448,5.571747,5.60437,1,1,1
449,5.110046,5.0896,1,1,0
449,5.110046,5.0896,1,1,0
450,4.456955,4.371933,1,1,0
451,3.832047,3.762787,1,1,0
451,3.832047,3.762787,1,1,0
452,-1,-1,0.5909361,0.609365,0
453,4.86055,4.741577,1,1,0
453,4.86055,4.741577,1,1,0
454,4.687073,4.590408,1,1,0
455,-1,-1,0,0,2
456,-1,-1,0.5125166,0.3152064,1
457,5.48703,5.10022,1,1,0
458,4.570572,4.39122,1,1,0
459,4.400162,4.29454,1,1,0
460,-1,-1,0.6398281,0.4232635,2
461,4.755554,4.457489,1,1,0
462,4.82785,4.282745,0.9267074,0.8914813,1
463,4.670273,4.432175,0.9758586,0.9339513,1
463,4.670273,4.432175,0.9758586,0.9339513,0
464,4.676239,4.584335,1,1,1
465,4.697647,4.555557,0.9698467,0.9431098,0
465,4.697647,4.555557,0.9698467,0.9431098,0
466,4.697372,4.370895,0.9315702,0.9331387,1
467,4.657257,4.274918,0.9730808,0.8806974,1
468,4.163681,3.778366,0.9195887,0.9040565,1
469,4.089569,3.97699,1,1,0
469,4.089569,3.97699,1,1,0
470,4.486618,4.339493,1,1,1
471,-1,-1,0,
