time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blinktiming
0.3533334,-0.1830565,0.1742834,-0.1791118,0.1252387,3.649994,3.983902,1,1,blinked
0.4567334,-0.1810634,0.1772935,-0.1700628,0.1310916,3.533875,3.765244,1,1,null
0.5823228,-0.1821712,0.18067,-0.1649287,0.1355138,3.24733,3.613907,1,1,null
0.8140036,-0.1878508,0.1871122,-0.1662537,0.1384795,2.990326,3.346985,1,1,null
0.9269488,-0.19507,0.1905417,-0.1688707,0.1429228,3.000137,3.360535,1,1,null
1.033037,-0.2024397,0.1926921,-0.1688243,0.1445628,3.105331,3.407379,1,1,null
1.137797,-0.2037833,0.1974916,-0.1643888,0.1486392,3.24733,3.51474,1,1,null
1.239785,-0.2084004,0.2047624,-0.1648408,0.1547382,3.277206,3.590179,1,1,null
1.342664,-0.1404141,0.1623912,-0.102068,0.09838068,3.379913,3.52475,1,1,null
1.444668,-0.2109264,0.1648219,-0.1768565,0.1424288,3.432816,3.603683,1,1,null
1.546117,-0.117393,0.003480077,0.02497339,-0.02249002,-1,-1,0.1533175,0.6421315,null
1.647026,-0.2219517,0.05430585,-0.2223375,0.02628499,3.493164,3.684799,1,1,null
1.7511,-0.2509625,0.09923339,-0.2482663,0.06249076,3.590698,3.828201,1,1,null
1.853985,-0.2349252,0.122209,-0.2288092,0.07866043,3.486938,3.672043,1,1,null
1.955495,-0.1866792,0.1441007,-0.1746758,0.09101069,3.724518,3.803833,1,1,null
2.078111,-0.2006874,0.05494142,-0.2107042,0.001396179,3.653305,3.87587,1,1,null
2.181638,-0.2158909,0.02663237,-0.2440113,-0.0402391,3.753448,3.80455,1,1,null
2.285533,-0.2240134,0.05154389,-0.2432843,0.002300084,3.629089,3.857193,1,1,null
2.387666,-0.2220471,0.03606695,-0.2403558,-0.02250445,3.662704,3.463943,1,1,null
2.487977,-0.2121521,0.07215971,-0.2381424,0.01066989,3.633698,3.748016,1,1,null
2.608114,-0.2453579,0.04297274,-0.2920184,-0.01728499,3.625458,3.439377,1,1,null
2.708867,-0.2575554,0.03033853,-0.2873161,-0.02197158,3.586502,3.49617,1,1,null
2.80912,-0.1593007,0.09209371,-0.1296089,0.0216701,-1,-1,0.6976797,0.6913285,blinked
2.933511,-0.1781114,0.2305334,-0.1668186,0.1825848,3.410034,3.56842,1,1,null
3.037963,-0.1651652,0.2468693,-0.1537759,0.1975411,3.325836,3.589539,1,1,null
3.13958,-0.1667976,0.2228502,-0.1510032,0.1766629,3.534683,3.745956,1,1,null
3.243305,-0.1684996,0.2057613,-0.1515851,0.1603085,3.566422,3.740982,1,1,null
3.347512,-0.1682047,0.1903191,-0.1466143,0.1378574,3.588593,3.828125,1,1,null
3.450184,-0.1709167,0.2440845,-0.1511825,0.1930623,3.513733,3.729004,1,1,null
3.55083,-0.1737764,0.222658,-0.1512277,0.1742694,3.458725,3.667145,1,1,null
3.651337,-0.1782433,0.2139764,-0.1527427,0.1633606,3.403564,3.665329,1,1,null
3.752146,-0.1803158,0.2093607,-0.155888,0.1557961,3.402374,3.690353,1,1,null
3.855212,-0.1825501,0.2017436,-0.1571336,0.14421,3.411652,3.751953,1,1,null
3.980372,-0.1887985,0.2036812,-0.1585885,0.1451373,3.455322,3.798553,1,1,null
4.104757,-0.1970752,0.1989614,-0.1639905,0.1424599,3.613251,3.807892,1,1,null
4.20771,-0.201517,0.1901768,-0.1706366,0.1299967,3.628784,3.83168,1,1,null
4.308816,-0.2156618,0.1873726,-0.1797845,0.1276644,3.593277,3.934341,1,1,null
4.412425,-0.2295677,0.1843733,-0.1890292,0.126184,3.580856,3.911301,1,1,null
4.520523,-0.2331458,0.1793808,-0.1950857,0.1223481,3.629852,3.906586,1,1,null
4.643391,-0.2114216,-0.01125979,-0.2372055,-0.07034409,3.782196,3.456253,1,1,null
4.744584,-0.2268478,0.0156514,-0.2442608,-0.03850269,3.696701,3.736542,1,1,null
4.869424,-0.2217641,0.04458833,-0.2306711,-0.007610083,3.724182,3.662903,1,1,null
4.993746,-0.1856719,0.1499354,-0.207812,0.0901143,3.724808,3.847519,1,1,null
5.107925,-0.179068,0.1435784,-0.1929867,0.08020812,3.650955,3.718552,1,1,null
5.211682,-0.1325571,0.1399726,-0.1158397,0.07590783,3.393372,3.533875,1,1,null
5.314776,0.0991956,0.2074623,0.1250066,0.1195304,3.388474,3.478149,1,1,null
5.418575,-0.08001053,0.1325026,-0.03040361,0.06164694,3.197662,3.347443,1,1,null
5.520797,0.1553998,0.2047547,0.1678271,0.1176197,3.18895,3.479904,1,1,null
5.643704,0.02789068,0.229875,0.07994425,0.1632625,3.24588,3.544861,1,1,null
5.750602,-0.2286465,0.03200012,-0.2028491,0.004259825,-1,-1,0.9814909,0.9796062,null
5.85304,-0.1698291,-0.008543253,-0.2595932,-0.08829737,3.363571,3.655655,1,1,null
5.95517,-0.03824282,-0.04164505,-0.1426172,-0.1067538,3.305267,3.863632,1,1,null
6.057546,-0.04532731,-0.03342175,-0.1399217,-0.103106,3.564972,3.742874,1,1,null
6.18318,-0.05219102,-0.03326762,-0.1462749,-0.09713292,3.368713,3.723526,1,1,null
6.288213,-0.05054307,-0.02908707,-0.1442958,-0.08384991,2.994034,3.555557,1,1,null
6.390913,-0.04333895,-0.01915586,-0.1375985,-0.07488394,2.828415,3.323715,1,1,null
6.490933,-0.03355026,-0.01640666,-0.1222098,-0.07037425,2.678055,3.062225,1,1,null
6.61584,-0.3387007,0.05137986,-0.431684,-0.004789352,2.879623,3.086731,1,1,null
6.717623,-0.3348099,0.04780227,-0.4446583,-0.009877086,2.767136,3.08522,1,1,null
6.836686,-0.2972452,0.04618108,-0.3893434,-0.004984856,2.677887,2.702713,1,1,null
6.93727,-0.287105,0.04232377,-0.3723017,-0.007006168,2.66629,2.696411,1,1,null
7.041809,-0.2693718,0.04680115,-0.363317,-0.005175114,2.648819,2.707718,1,1,null
7.142477,-0.2642453,0.05146468,-0.3595755,-0.00280869,2.691254,2.728958,1,1,null
7.247456,-0.2765437,0.1540747,-0.3716788,0.1104289,2.781631,2.844116,1,1,null
7.350442,-0.276763,0.1482329,-0.3607253,0.09727019,2.754959,2.819855,1,1,null
7.451552,-0.300495,0.1304805,-0.358735,0.09266585,2.6577,2.826431,1,1,null
7.552509,-0.3037245,0.1172421,-0.3335136,0.05986494,2.71431,2.708359,1,1,null
7.655321,-0.2884251,0.1048763,-0.3115366,0.04726928,2.600082,2.728668,1,1,null
7.758162,-0.2710119,0.08487183,-0.3051441,0.02746701,2.769379,2.74147,1,1,null
7.859831,-0.2628233,-0.002778888,-0.3515537,-0.05896604,2.818558,2.842957,1,1,null
7.962097,-0.2547796,-0.001063108,-0.3430523,-0.05637288,2.890244,2.832596,1,1,null
8.064833,-0.2506413,-0.001484871,-0.3383652,-0.05899274,2.919617,2.770569,1,1,null
8.169822,-0.2520469,-0.00175941,-0.3377884,-0.05931687,2.895706,2.687241,1,1,null
8.270035,-0.2522426,-0.003778696,-0.3366225,-0.06168461,2.832672,2.657043,1,1,null
8.393457,-0.2595142,-0.0158565,-0.3390787,-0.06618786,2.848557,2.763794,1,1,null
8.49368,-0.2675681,-0.02034354,-0.338725,-0.06981421,2.862045,2.7379,1,1,null
8.595252,-0.276603,-0.02110302,-0.3390975,-0.0697093,2.839218,2.715317,1,1,null
8.697216,-0.1177008,0.1742746,-0.130248,0.1195439,2.64859,2.977631,1,1,null
8.801051,-0.1012612,0.1515634,-0.1023054,0.09505427,2.793564,2.752655,1,1,null
8.903519,-0.08015805,0.02472258,-0.009085834,0.003812432,-1,-1,0.8541132,0.9193555,null
9.005464,0.1397505,0.2167974,0.1496602,0.1201654,-1,-1,1,1,null
9.106768,0.04671824,0.1854913,0.06102407,0.1114609,2.818619,2.980881,1,1,null
9.209213,-0.06974638,0.1530309,-0.05247259,0.09374219,2.758118,2.985733,1,1,null
9.312728,-0.1394299,0.1358639,-0.1240965,0.08429044,3.011002,3.075302,1,1,null
9.418633,-0.1562852,0.1324171,-0.140925,0.07856321,2.930862,3.156952,1,1,null
9.544327,-0.1419896,0.1166885,-0.1278011,0.07039911,3.068085,3.213409,1,1,null
9.648149,-0.1381075,0.1442789,-0.1199733,0.08379346,3.312592,3.223953,1,1,null
9.750626,-0.1418593,0.155452,-0.120728,0.0945279,3.296158,3.331696,1,1,null
9.856759,-0.1497354,0.1421564,-0.123894,0.08500183,3.280792,3.303894,1,1,null
9.960505,-0.1529837,0.1360724,-0.1296985,0.06739533,3.275955,3.347107,1,1,null
10.08256,-0.1817783,0.1434304,-0.1503783,0.07847953,3.42749,3.466385,1,1,null
10.1865,-0.1927739,0.1619532,-0.1602236,0.09482938,3.396133,3.548218,1,1,null
10.29343,-0.1935487,0.1656168,-0.1566094,0.0981735,3.429428,3.588715,1,1,null
10.39802,-0.2167901,0.1607387,-0.1719745,0.1014259,3.514313,3.572998,1,1,null
10.50058,-0.3346134,0.1836768,-0.2910538,0.1337852,3.516388,3.742294,1,1,null
10.60742,-0.3832233,0.1851932,-0.330471,0.1420285,3.708267,3.499985,1,1,null
10.71069,-0.4326614,0.216934,-0.4003184,0.1649459,3.648682,3.255936,1,1,null
10.81277,-0.3615452,0.2528101,-0.3399445,0.2016089,3.052277,3.207428,1,1,null
10.91569,-0.3259523,0.2664889,-0.3112494,0.2249917,2.917175,3.159393,1,1,null
11.02114,-0.2867229,0.2609696,-0.2681192,0.2114964,2.624298,2.910141,1,1,null
11.12597,-0.2484325,0.2590492,-0.226215,0.2050859,2.65036,2.832596,1,1,null
11.23011,-0.2194675,0.2748512,-0.1880107,0.2161661,2.409225,2.905548,1,1,null
11.33751,-0.1912193,0.2811061,-0.1643426,0.2199813,2.596161,2.98674,1,1,null
11.44067,-0.1824716,0.279911,-0.1521556,0.2182363,2.79129,2.975784,1,1,null
11.54414,-0.1935852,0.2718961,-0.1505634,0.2124652,2.792786,3.045181,1,1,null
11.65145,-0.2221573,0.2643056,-0.1825081,0.2131894,2.83606,3.019897,1,1,null
11.75401,0.09429669,0.2244918,0.1324284,0.1411136,2.98291,3.170868,1,1,null
