ïbêî,ç∂ìµçEåa,âEìµçEåa,ç∂ñ⁄ÇÃäJÇ´ãÔçá,âEñ⁄ÇÃäJÇ´ãÔçá,1ïbìñÇΩÇËÇÃèuÇ´âÒêî
1282,-1,-1,1,1,0
1283,-1,-1,1,1,0
1283,-1,-1,1,1,0
1284,-1,-1,1,1,0
1285,3.922134,4.127441,1,1,1
1286,4.417908,4.507156,0.9776585,0.9969155,2
1287,4.503159,4.403366,0.9570452,0.9688826,0
1287,4.503159,4.403366,0.9570452,0.9688826,0
1288,4.049637,4.023026,1,1,0
1288,4.049637,4.023026,1,1,0
1289,3.966278,3.982162,1,1,0
1289,3.966278,3.982162,1,1,0
1290,-1,-1,0.5541124,0.1663131,0
1291,-1,-1,0.1,0.1149866,2
1292,4.427994,4.232162,1,1,2
1293,-1,-1,0,0.1,2
1294,-1,-1,0.6931106,0.4921869,2
1295,3.919342,3.757202,1,1,2
1296,3.825439,3.6642,1,1,1
1297,4.09111,3.954498,1,1,1
1297,4.09111,3.954498,1,1,0
1298,4.212296,3.949417,0.7106625,0.56916,1
1298,4.212296,3.949417,0.7106625,0.56916,0
1299,-1,-1,0.4272787,0.1293182,2
1299,-1,-1,0.4272787,0.1293182,0
1300,4.09642,4.151764,0.7441601,0.6205646,1
1301,-1,-1,0.1028419,0.2402703,2
1301,-1,-1,0.1028419,0.2402703,0
1302,4.147766,3.89711,1,1,1
1302,4.147766,3.89711,1,1,0
1303,-1,-1,0,0,3
1304,3.629456,3.381332,1,1,1
1305,3.701202,3.579697,1,1,1
1306,-1,-1,0.7399368,0.7050022,2
1307,3.830231,3.834183,1,1,1
1308,-1,-1,0.34969,0.09183208,1
1309,3.916336,3.701675,0.8626515,0.8693838,0
1310,-1,-1,0.4015212,0.1168323,2
1310,-1,-1,0.4015212,0.1168323,0
1311,3.650314,3.472717,1,1,0
1312,3.434341,3.349884,1,1,0
1313,3.677567,3.404175,1,1,0
1314,3.760712,3.533371,1,1,0
1315,3.605499,3.235947,1,1,0
1315,3.605499,3.235947,1,1,0
1316,3.365875,3.463089,0.8427401,0.7771263,1
1316,3.365875,3.463089,0.8427401,0.7771263,0
1317,-1,-1,0,0,1
1317,-1,-1,0,0,0
1318,-1,-1,0.6590604,0.5831641,2
1319,3.831741,3.530258,0.917098,0.9029426,2
1320,3.89328,3.652344,0.9404712,0.9239574,0
1321,3.978439,3.801636,0.8849573,0.8875642,1
1322,3.596527,3.191666,1,1,0
1323,3.987961,3.674484,0.9444382,0.8571241,1
1324,4.253647,4.057709,1,1,0
1325,3.731552,3.58992,1,1,0
1326,3.459183,3.249741,1,1,0
1327,-1,-1,0.5129328,0.5642681,0
1328,-1,-1,0,0,2
1329,3.909378,3.587738,1,1,2
1330,3.79361,3.637054,0.9280695,0.9602311,0
1330,3.79361,3.637054,0.9280695,0.9602311,0
1331,4.246933,4.098648,1,1,0
1332,-1,-1,0.8003344,0.7195811,0
1333,3.435638,3.205765,0.9144141,0.9883054,0
1334,-1,-1,0.5058744,0.2003433,0
1335,3.116241,2.952103,1,1,0
1336,3.029663,2.898453,1,1,0
1337,3.648361,3.690781,0.9369974,0.9777112,0
1338,3.094681,3.149704,0.747552,0.7336621,0
1339,3.452408,3.254211,0.853946,0.8715074,0
1339,3.452408,3.254211,0.853946,0.8715074,0
1340,2.95871,2.823929,1,1,0
1341,2.597626,2.507339,1,1,0
1342,-1,-1,0.8927882,0.906306,0
1342,-1,-1,0.8927882,0.906306,0
1343,3.646912,3.659897,1,1,0
1343,3.646912,3.659897,1,1,0
1344,3.470306,3.280319,1,1,0
1345,3.267868,2.970001,1,1,0
1346,2.888428,2.80426,1,1,0
1347,2.817703,2.702866,1,1,0
1348,2.726166,2.777985,1,1,0
1349,2.623169,2.611633,0.9333687,0.8767237,0
1350,-1,-1,0,0,1
1351,3.147385,2.899155,0.9092782,0.9455144,0
1352,3.226059,3.011703,0.8683177,0.8817887,0
1353,3.428055,3.206635,0.9227405,0.9673615,0
1354,3.093948,2.989151,0.9439311,0.9044399,0
1355,3.100403,2.991699,0.9268728,0.9629273,0
1356,3.225494,3.029694,0.9168339,0.9738423,0
1356,3.225494,3.029694,0.9168339,0.9738423,0
1357,3.110001,2.728363,1,1,0
1358,3.473236,3.417374,0.949117,0.9841689,0
1359,3.366074,3.056976,1,1,0
1359,3.366074,3.056976,1,1,0
1360,3.304108,3.319214,0.4856076,0.4910456,0
1361,3.475204,3.240616,0.4600782,0.3701124,0
1362,-1,-1,0.06910118,0.0877739,0
1363,3.25679,2.992874,0.792879,0.8160558,1
1364,3.112244,2.893402,0.8013345,0.7918057,0
1365,3.163681,2.771729,0.937929,0.9897401,0
1366,2.875854,2.52478,1,1,0
1367,2.441467,2.387146,1,1,0
1368,2.598129,2.331314,1,1,0
1368,2.598129,2.331314,1,1,0
1369,3.09584,2.875031,1,1,0
1370,3.459702,3.429855,1,1,0
1371,-1,-1,0.7344645,0.6066431,0
1371,-1,-1,0.7344645,0.6066431,0
1372,2.596268,2.757004,0.7264327,0.6383067,0
1372,2.596268,2.757004,0.7264327,0.6383067,0
1373,2.964905,2.925186,0.7232384,0.655537,0
1373,2.964905,2.925186,0.7232384,0.655537,0
1374,2.859451,2.787979,1,1,0
1375,-1,-1,0.1602623,0,0
1376,3.271332,3.166748,0.9054532,0.8062265,0
1376,3.271332,3.166748,0.9054532,0.8062265,0
1377,2.9841,2.917969,0.9459194,0.9279744,0
1378,2.893539,2.747421,0.9497945,0.9423371,0
1379,2.903168,2.86499,0.8044991,0.7453324,0
1380,3.023666,2.295593,0.6673266,0.5491946,0
1381,2.807663,2.745285,0.8597615,0.7898389,0
1382,2.783646,2.846039,0.8284279,0.7653527,0
1383,2.433823,2.344421,1,1,0
1384,2.232361,2.192062,1,1,0
1385,2.58017,2.491196,0.8062053,0.6900198,0
1385,2.58017,2.491196,0.8062053,0.6900198,0
1386,-1,-1,0.3105423,0.0211618,0
1387,3.256744,3.236969,1,1,0
1388,3.170715,3.225021,1,1,0
1389,3.225571,3.174576,1,1,0
1389,3.225571,3.174576,1,1,0
1390,3.646362,3.531296,1,1,0
1391,2.292313,2.276932,0.7036903,0.5174215,0
1392,2.891663,2.697556,1,1,0
1393,2.894958,2.811234,1,1,0
1394,2.994003,2.764389,1,1,0
1395,3.267303,3.076843,1,1,0
1396,3.438309,3.216904,1,1,0
1397,3.436417,3.12735,0.8069023,0.7843614,0
1398,3.626083,3.356598,1,1,0
1398,3.626083,3.356598,1,1,0
1399,2.805634,2.50116,0.962777,0.9595157,0
1399,2.805634,2.50116,0.962777,0.9595157,0
1400,-1,-1,0.7078645,0.3995128,0
1401,2.905899,2.737152,1,1,0
1402,2.904327,2.781479,1,1,0
1403,3.316467,3.209671,1,1,0
1404,3.087036,2.98732,1,1,0
1405,-1,-1,0.1472361,0,0
1406,2.88826,2.824661,0.8078035,0.8098379,0
1407,2.916397,2.859802,1,1,0
1408,3.108093,2.671082,1,1,0
1408,3.108093,2.671082,1,1,0
1409,3.007675,2.999222,1,1,0
1410,3.126816,3.052521,1,1,0
1411,3.155121,2.864304,1,1,0
1412,2.651688,2.493484,1,1,0
1412,2.651688,2.493484,1,1,0
1413,3.030716,2.974777,1,1,0
1414,3.442322,3.191467,1,1,0
1415,3.01442,2.796112,1,1,0
1416,3.204132,3.169144,1,1,0
1417,3.558136,3.2341,1,1,0
1417,3.558136,3.2341,1,1,0
1418,3.575394,3.244278,1,1,0
1419,-1,-1,0.5319555,0.4266899,1
