time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blinktiming
0.3533334,-0.09061831,-0.1677259,-0.05756897,-0.08986402,3.604477,3.474548,1,1,null
0.4876371,-0.08974707,-0.1672696,-0.05612773,-0.08940351,3.618088,3.521545,1,1,null
0.6126372,-0.0866459,-0.1648828,-0.05522752,-0.08770704,3.57637,3.465775,1,1,null
0.7954788,-0.07880801,-0.1591561,-0.0544911,-0.08421278,3.386505,3.35051,1,1,null
0.8994988,-0.07089174,-0.1560272,-0.04896498,-0.08235621,3.377304,3.290176,1,1,null
1.014873,-0.1344795,-0.1549283,-0.1262,-0.0805161,3.423782,3.331436,1,1,null
1.120522,-0.1454361,-0.1610452,-0.1419513,-0.08073628,3.39679,3.305893,1,1,null
1.224772,-0.1209509,-0.1638564,-0.120224,-0.08516812,3.514023,3.397888,1,1,null
1.329135,-0.2209091,-0.1917032,-0.2358888,-0.1121731,3.608109,3.607269,1,1,null
1.432451,-0.1812677,-0.1941543,-0.1930918,-0.1163069,3.516525,3.594666,1,1,null
1.538165,-0.3010229,-0.2004598,-0.342191,-0.129232,3.660461,3.745316,1,1,null
1.640041,-0.2593631,-0.2045496,-0.2867473,-0.1285199,3.72522,3.72934,1,1,null
1.749753,-0.2221193,-0.2144847,-0.2366562,-0.1314645,3.788147,3.716278,1,1,null
1.858416,-0.1938311,-0.2220193,-0.2014587,-0.138826,3.707703,3.750702,1,1,null
1.963373,-0.1674142,-0.2313399,-0.1601197,-0.1408641,3.649673,3.723862,1,1,null
2.06749,-0.1555941,-0.2324071,-0.1402904,-0.1434278,3.763657,3.781937,1,1,null
2.181656,-0.1238264,-0.2328749,-0.1122262,-0.1486448,3.778915,3.747406,1,1,null
2.286293,-0.2559975,-0.2250968,-0.2618209,-0.1465774,3.909744,3.855927,0.9992339,0.9954259,null
2.392724,-0.2253227,-0.231599,-0.2262633,-0.1490668,3.981506,3.88092,1,1,null
2.499201,-0.1814848,-0.2347318,-0.1792346,-0.151322,4.022461,3.945297,1,1,null
2.60992,-0.2426489,-0.2356421,-0.2552502,-0.1633325,3.987595,3.986633,1,1,null
2.717289,-0.2079593,-0.2438643,-0.2140028,-0.1605122,4.084717,3.940948,1,1,null
2.821324,-0.261205,-0.2554171,-0.2780133,-0.1804786,4.095993,4.063522,0.9402579,0.950333,null
2.928642,-0.2463254,-0.2616316,-0.2412808,-0.1797729,4.10878,4.116989,0.9592645,0.9216889,null
3.032017,-0.2288584,-0.264805,-0.2183228,-0.1802255,4.076202,4.180649,0.9991152,0.9896447,null
3.133867,-0.2115181,-0.2617633,-0.2124988,-0.1798002,4.114227,4.147461,1,1,null
3.239269,-0.2045172,-0.2573286,-0.2110333,-0.1786728,4.105865,4.155502,1,1,null
3.341012,-0.200849,-0.2528279,-0.2128809,-0.1777446,4.116272,4.19075,1,1,null
3.451417,-0.0934056,-0.3577806,-0.1686929,-0.2902359,3.998688,4.108917,1,1,null
3.556698,-0.06483781,-0.453149,-0.1480507,-0.376665,4.142151,4.155975,0.6100026,0.4228434,null
3.663795,-0.09171069,-0.3852376,-0.1494951,-0.297137,4.002625,4.087463,0.6668986,0.4557465,null
3.774664,-0.112363,-0.3444638,-0.154245,-0.2827717,4.010986,4.134796,0.7517765,0.5636315,null
3.888861,-0.1877791,-0.3903903,-0.2480223,-0.3175856,4.158783,4.107437,0.7893267,0.6188958,null
4.000034,-0.1911998,-0.3842196,-0.2467412,-0.3085538,4.087128,4.146103,0.841458,0.6391082,null
4.109178,-0.1919274,-0.3822551,-0.2428906,-0.3080728,4.061829,4
