ïbêî,ç∂ìµçEåa,âEìµçEåa,ç∂ñ⁄ÇÃäJÇ´ãÔçá,âEñ⁄ÇÃäJÇ´ãÔçá,1ïbìñÇΩÇËÇÃèuÇ´âÒêî
610,-1,-1,1,1,0
611,-1,-1,1,1,0
612,-1,-1,1,1,0
613,-1,-1,1,1,0
614,-1,-1,1,1,0
615,-1,-1,1,1,0
615,-1,-1,1,1,0
616,-1,-1,1,1,0
617,-1,-1,1,1,0
618,-1,-1,1,1,0
619,-1,-1,1,1,0
620,-1,-1,1,1,0
621,-1,-1,1,1,0
622,-1,-1,1,1,0
623,-1,-1,1,1,0
624,-1,-1,1,1,0
625,-1,-1,1,1,0
626,-1,-1,1,1,0
627,-1,-1,1,1,0
628,-1,-1,1,1,0
628,-1,-1,1,1,0
629,-1,-1,1,1,0
630,-1,-1,1,1,0
631,-1,-1,1,1,0
632,3.827728,3.747894,0.7231584,0.655406,1
633,3.700394,3.395233,1,1,0
633,3.700394,3.395233,1,1,0
634,4.032562,4.019913,0.9123453,0.8901027,2
635,4.654572,3.621887,0.4823855,0.1629945,1
636,3.82843,3.909561,1,1,2
637,-1,-1,0.3665514,0.09528748,0
637,-1,-1,0.3665514,0.09528748,0
638,3.802185,3.884628,0.7203935,0.6895734,2
638,3.802185,3.884628,0.7203935,0.6895734,0
639,-1,-1,0.5669706,0.4471878,1
640,-1,-1,0.3469513,0.02898698,1
641,3.909164,3.867447,0.8711692,0.8917825,1
642,-1,-1,0.475529,0.2166332,1
643,3.822662,3.527802,0.9013348,0.988596,1
644,3.404
