ïbêî,ç∂ìµçEåa,âEìµçEåa,ç∂ñ⁄ÇÃäJÇ´ãÔçá,âEñ⁄ÇÃäJÇ´ãÔçá,1ïbìñÇΩÇËÇÃèuÇ´âÒêî
1007,-1,-1,1,1,0
1008,3.461884,3.513412,1,1,1
1009,-1,-1,0,0,2
1010,4.061981,3.836182,0.7337292,0.8765599,2
1011,3.72673,4.006683,0.3314602,0.6652701,0
1012,-1,-1,1,1,3
1013,2.985901,2.801483,0.6670496,0.9281367,1
1014,3.811584,3.622238,0.7229504,0.859536,2
1015,3.918259,3.752609,1,1,1
1016,3.980927,3.906998,1,1,0
1017,3.579849,3.286255,1,1,0
1018,3.870422,3.439575,0.7480184,0.7031215,3
1019,3.609528,2.940887,0.9323602,0.8214892,0
1020,-1,-1,0.4138998,0.2485134,0
1021,3.170685,2.86676,0.744698,0.7581808,0
1022,-1,-1,0,0.1,1
1023,-1,-1,1,1,1
1024,-1,-1,1,1,0
1025,-1,-1,1,1,0
1026,-1,-1,1,1,0
1027,3.504776,3.449692,0,0,1
1028,3.672501,3.691452,1,1,0
1029,3.562622,3.563492,1,1,0
1030,3.840683,3.68277,1,1,0
1030,3.840683,3.68277,1,1,0
1031,3.623123,3.397446,1,1,1
1032,3.567398,3.481506,1,1,1
1033,3.389175,3.273972,1,1,0
1034,3.48645,3.570602,0.9449213,0.7419921,0
1035,3.153046,2.90448,1,1,0
1036,3.106857,2.899246,1,1,0
1037,2.982544,3.047806,1,1,0
1038,3.44928,3.275879,0.7441524,0.1944873,0
1039,-1,-1,0.4348221,0,0
1040,-1,-1,0,0.1,2
1041,-1,-1,0.1,0.1,0
1042,3.164185,3.078583,0.828945,0.869102,0
1043,3.332108,3.180725,1,1,0
1044,3.304413,3.444992,1,1,0
1045,3.68045,3.508255,0.9269546,0.8908899,0
1046,3.768127,3.705185,1,1,0
1046,3.768127,3.705185,1,1,0
1047,3.823044,3.532776,0.9231023,0.858173,0
1048,-1,-1,0.1,0.05757973,3
1049,-1,-1,1,1,1
1050,-1,-1,1,1,0
1051,-1,-1,1,1,0
1052,-1,-1,1,1,0
1053,-1,-1,1,1,0
1054,3.762756,3.546768,0.3504946,0.4782131,1
1054,3.762756,3.546768,0.3504946,0.4782131,0
1055,3.753891,3.632416,0.3988316,0.5255444,0
1056,-1,-1,0.6707178,0.89424,0
1057,-1,2.999878,1,1,0
1057,-1,2.999878,1,1,0
1058,3.650986,3.239578,1,1,0
1059,3.492432,3.230225,1,1,1
1060,3.929352,3.828995,1,1,0
1061,3.683273,3.527252,1,1,0
1062,3.355423,3.114075,1,1,0
1063,3.486893,3.444397,1,1,0
1064,3.551208,3.330353,1,1,0
1065,3.804077,3.645157,1,1,0
1066,3.155685,3.013306,1,1,0
1067,3.422455,3.244965,1,1,0
1067,3.422455,3.244965,1,1,0
1068,2.707779,3.671906,0.9142437,0.9392359,0
1069,3.126328,2.897873,1,1,0
1070,3.120071,2.980988,1,1,0
1070,3.120071,2.980988,1,1,0
1071,2.841263,2.694656,1,1,0
1072,3.140945,2.995956,1,1,0
1072,3.140945,2.995956,1,1,0
1073,3.354141,3.267258,1,1,0
1074,3.531815,3.285126,1,1,0
1075,3.267578,2.967743,1,1,0
1076,3.393341,3.10968,1,1,0
1077,-1,-1,0.4176184,0,0
1078,3.303497,3.268692,0.8721148,0.8384946,0
1079,2.496964,-1,1,1,0
1080,3.440018,3.304901,1,1,0
1081,3.114029,2.959259,1,1,0
1082,2.758316,2.548233,1,1,0
1083,3.038712,2.986298,1,1,0
1084,3.279999,2.941071,1,1,0
1085,3.341492,3.166489,1,1,0
1086,3.34404,3.210083,1,1,0
1087,3.461426,3.415863,1,1,0
1088,-1,-1,0.8271615,0.6937364,0
1089,3.544434,3.465042,1,1,0
1090,2.94696,2.933228,1,1,0
1091,2.668457,2.602249,0.7721722,0.8700494,0
1092,2.911636,2.811615,1,1,0
1093,3.009201,2.925446,1,1,0
1094,3.598114,3.373535,1,1,0
1094,3.598114,3.373535,1,1,0
1095,3.056564,3.148041,1,1,0
1096,3.190338,3.332458,1,1,0
1097,3.228455,2.9245,1,1,0
1097,3.228455,2.9245,1,1,0
1098,2.839661,2.730713,1,1,0
1099,-1,-1,0.5222746,0.3031396,1
1100,-1,-1,0.6932271,0.3375994,0
1101,3.328354,3.287567,1,1,0
1102,3.428955,3.372681,0.8742172,0.9068828,0
1103,3.440277,3.460907,0.5543345,0.1381403,0
1104,3.432373,3.102448,0.8880887,0.690014,0
1104,3.432373,3.102448,0.8880887,0.690014,0
1105,3.078934,2.816376,0.9271551,0.9077719,0
1106,3.071014,3.019104,1,1,0
1106,3.071014,3.019104,1,1,0
1107,3.141861,3.226135,1,1,0
1108,3.385406,3.369507,1,1,0
1109,3.037689,2.949753,1,1,0
1110,3.008926,3.082092,1,1,0
1111,-1,2.716156,1,1,0
1112,-1,-1,0.7368816,0.6882945,0
1113,2.921387,2.704453,1,1,0
1114,2.489166,2.399078,1,1,0
1115,3.134842,2.9785,0.9784075,0.9124712,0
1116,3.379211,3.103928,1,1,0
1117,3.160233,3.002411,1,1,0
1117,3.160233,3.002411,1,1,0
1118,3.637817,3.486511,1,1,0
1119,3.756638,3.321564,1,1,0
1120,-1,-1,0.7128183,0.4206915,0
1121,-1,-1,1,1,0
1122,3.332932,3.108856,1,1,0
1123,-1,-1,0.1547687,0,0
1124,2.923294,2.939606,1,1,0
1125,3.279556,3.065063,0.9540731,0.8941986,0
1126,3.738464,3.559082,1,1,0
1127,3.614105,3.58844,1,1,0
1128,3.655716,3.245087,1,1,0
1129,3.387924,3.319351,1,1,0
1130,2.732529,2.505051,1,1,0
1131,2.696762,2.517349,1,1,0
1132,2.795471,2.724777,0.8541692,0.7586649,0
1133,2.922821,2.687439,1,1,0
1134,2.693405,2.644287,1,1,0
1135,-1,-1,0.5153266,0.1076177,0
1135,-1,-1,0.5153266,0.1076177,0
1136,2.858719,2.799103,0.9244,0.9859058,0
1136,2.858719,2.799103,0.9244,0.9859058,0
1137,3.532516,3.48587,1,1,0
1138,3.645035,3.504395,0.7828413,0.5134715,0
1139,3.657974,3.237,0.8186669,0.6025733,0
1140,-1,-1,0.5367207,0.1448382,0
1141,3.067444,2.814957,0.8816279,0.8823656,0
1142,2.702072,2.539612,0.9478663,0.8312026,0
1143,-1,-1,0.1178898,0,0
1144,2.80365,2.533859,0.9153382,0.9193649,0
1145,2.528778,2.412109,1,1,0
1146,2.564697,2.669205,1,1,0
1147,2.867157,2.902878,1,1,0
1148,2.88913,2.890488,1,1,0
1149,3.139206,3.376663,1,1,0
1150,3.292023,3.289368,0.8741696,0.7028111,0
1151,3.809845,3.304535,0.8391473,0.7153121,0
1152,3.036316,3.069183,0.7559966,0.7302707,0
1153,3.109375,2.911652,1,1,0
1154,2.756241,2.790009,1,1,0
1154,2.756241,2.790009,1,1,0
1155,3.447968,3.341003,1,1,0
1156,2.861099,-1,0.9111473,0.8508428,0
1157,3.875992,3.643951,0.996707,0.8428597,0
1157,3.875992,3.643951,0.996707,0.8428597,0
1158,3.865494,3.895462,1,1,0
1158,3.865494,3.895462,1,1,0
1159,3.337418,3.394562,1,1,0
1160,3.619064,3.612213,1,1,0
1161,2.789536,2.689636,1,1,0
1162,3.069595,2.966629,1,1,0
1163,-1,-1,1,1,0
1164,3.137665,3.38443,0.710322,0.6112775,0
1165,2.736328,2.689346,1,1,0
1166,2.839401,2.786667,1,1,0
1167,3.168152,3.085602,1,1,0
1168,3.086304,2.979263,1,1,0
1169,3.930862,3.42009,0.4914413,0.2005508,0
1170,3.114777,2.94957,0.8670804,0.7516539,0
1171,2.763931,2.74913,1,1,0
1172,-1,-1,0.4893602,0.01441362,0
1172,-1,-1,0.4893602,0.01441362,0
1173,3.224487,3.148483,1,1,0
1174,3.521133,3.287018,1,1,0
1174,3.521133,3.287018,1,1,0
1176,-1,-1,0.1,0.1,1
