ïbêî,ç∂ìµçEåa,âEìµçEåa,ç∂ñ⁄ÇÃäJÇ´ãÔçá,âEñ⁄ÇÃäJÇ´ãÔçá,1ïbìñÇΩÇËÇÃèuÇ´âÒêî
230,-1,-1,1,1,0
231,-1,-1,1,1,0
232,-1,-1,1,1,0
232,-1,-1,1,1,0
233,-1,-1,1,1,0
234,-1,-1,1,1,0
235,-1,-1,1,1,1
237,-1,3.637344,0.8685234,0.9048796,3
238,-1,3.292572,1,1,0
239,3.148132,3.079971,0.9790348,0.9435226,1
240,2.603882,2.768997,0.9273629,0.8757978,1
241,3.01889,2.898819,1,1,1
241,3.01889,2.898819,1,1,0
242,3.147156,3.263687,1,1,1
243,3.231949,3.172394,1,1,0
244,3.178253,3.256317,1,1,0
245,3.55928,3.339203,0.971971,0.9593208,1
246,3.504913,3.600418,1,1,0
247,3.364609,3.410477,1,1,0
248,-1,-1,0,0,3
249,3.111069,3.00824,1,1,0
250,-1,2.442535,0.7359428,0.7313894,0
251,3.356384,3.347122,1,1,2
252,2.820267,2.763474,0.9616094,0.918436,0
253,3.180222,3.09201,1,1,2
254,-1,-1,0,0,3
255,2.940704,2.702225,0.8534045,0.7486219,2
256,2.498169,2.730972,0.719897,0.6073528,2
257,-1,-1,0,0,2
258,-1,-1,0,0.04814665,2
259,3.074524,3.221344,0.9996588,0.9895607,2
260,-1,-1,0,0.008009458,2
261,2.961639,2.980469,1,1,2
262,-1,-1,0,0.03433754,2
263,2.674438,2.658142,1,1,1
264,-1,-1,0,0,2
265,2.899323,2.889481,0.6935531,0.5116553,2
266,2.8815,2.718872,0.9916721,0.9024292,2
267,-1,-1,0,0,2
268,2.874664,3.120941,0.7919817,0.4948394,3
269,2.986969,2.886139,1,1,2
270,2.517075,2.434662,1,1,0
271,-1,-1,0,0,1
272,3.106461,2.930557,0.6148594,0.5010285,3
273,-1,-1,0,0,3
274,-1,-1,1,1,2
275,-1,-1,1,1,0
276,-1,-1,1,1,0
276,-1,-1,1,1,0
277,-1,-1,1,1,0
