Blink,time,count,tempblink
0.3533334,0,1,0
0.4712265,0,1,0
0.5821509,1,1,1
0.6933063,1,1,1
0.8011031,1,1,1
0.9049097,1,1,1
1.009162,1,1,1
1.112543,1,2,0
1.219968,1,2,0
1.324041,1,2,0
1.430305,1,2,0
1.539769,1,2,0
1.646026,1,2,0
1.754707,1,2,0
1.869547,1,2,0
1.973132,1,2,0
2.084283,1,2,0
2.191767,1,3,0
2.300591,1,3,0
2.405241,1,3,0
2.512338,1,3,0
2.617272,1,3,0
2.72489,1,3,0
2.830865,1,3,0
2.936804,1,3,0
3.044391,1,3,0
3.153401,1,4,0
3.258868,1,4,0
3.366583,1,4,0
3.47962,1,4,0
3.588599,1,4,0
3.691462,1,4,0
3.800027,1,4,0
3.902679,1,4,0
4.004372,2,4,1
4.10891,2,5,0
4.214738,2,5,0
4.318678,2,5,0
4.424123,2,5,0
4.52951,2,5,0
4.637177,2,5,0
4.741526,2,5,0
4.848528,2,5,0
4.953206,2,5,0
5.058342,2,5,0
5.162333,2,6,0
5.275041,2,6,0
5.376912,3,6,1
5.47971,3,6,1
5.585786,3,6,1
5.694733,3,6,1
5.799485,3,6,1
5.910799,3,6,1
6.01408,3,6,1
6.119813,3,7,0
6.225336,3,7,0
6.335737,3,7,0
6.453201,3,7,0
6.568592,3,7,0
6.682139,3,7,0
6.787283,3,7,0
6.892292,3,7,0
7.002199,3,7,0
7.117036,3,8,0
7.222508,3,8,0
7.333348,3,8,0
7.444539,3,8,0
7.557461,3,8,0
7.662783,3,8,0
7.772017,3,8,0
7.875103,3,8,0
7.980259,3,8,0
8.088108,3,8,0
8.197647,3,9,0
8.306863,3,9,0
8.418291,3,9,0
8.524353,3,9,0
8.632996,3,9,0
8.738814,3,9,0
8.845145,3,9,0
8.952495,3,9,0
9.060132,3,9,0
9.1641,3,10,0
9.272192,3,10,0
9.379549,3,10,0
9.482902,3,10,0
9.589618,3,10,0
9.694574,3,10,0
9.79924,3,10,0
9.909153,3,10,0
10.01076,3,10,0
10.11543,3,11,0
10.22003,3,11,0
10.32576,3,11,0
10.42958,3,11,0
10.53788,3,11,0
10.64307,3,11,0
10.75456,3,11,0
10.85892,3,11,0
10.96345,3,11,0
11.06736,3,11,0
11.17485,3,12,0
11.27983,3,12,0
11.3891,3,12,0
11.49176,3,12,0
11.59426,3,12,0
11.69862,3,12,0
11.8049,3,12,0
11.90817,3,12,0
12.0127,3,12,0
12.11657,3,13,0
12.22477,3,13,0
12.32903,3,13,0
12.4342,3,13,0
12.54307,3,13,0
12.65237,3,13,0
12.76246,3,13,0
13.13832,3,13,0
13.25057,4,14,1
13.35407,4,14,1
13.46268,4,14,1
13.57449,4,14,1
13.68401,4,14,1
13.79549,4,14,1
1
